First Name,Last Name,Team,Age,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Braden,Holtby,WSH,29,G,8474651,54,54,34,16,4,0,2.9923,153,1648,1495,0.9071,115,0.9144,1230,1345,33,0.8745,230,263,5,0.875,35,40
Harri,Sateri,FLA,29,G,8474667,9,7,4,4,0,0,2.9232,24,271,247,0.9114,17,0.9223,202,219,5,0.878,36,41,2,0.8181,9,11
Martin,Jones,SJS,28,G,8474889,60,60,30,22,6,4,2.547,145,1699,1554,0.9146,122,0.9139,1296,1418,21,0.9058,202,223,2,0.9655,56,58
Anders,Nilsson,VAN,28,G,8475195,27,24,7,14,4,2,3.4433,84,850,766,0.9011,60,0.9132,632,692,21,0.8359,107,128,3,0.9,27,30
Robin,Lehner,BUF,27,G,8475215,53,50,14,26,9,3,3.0083,143,1560,1417,0.9083,109,0.9147,1170,1279,27,0.8815,201,228,7,0.8679,46,53
J-F,Berube,CHI,27,G,8475234,13,10,3,6,1,0,3.7759,42,398,356,0.8944,31,0.9049,295,326,10,0.8461,55,65,1,0.8571,6,7
Darcy,Kuemper,LAK/ ARI,28,G,8475311,29,25,12,7,5,4,2.5189,67,833,766,0.9195,50,0.9265,631,681,14,0.8852,108,122,3,0.9,27,30
Carter,Hutton,STL,33,G,8475622,32,26,17,7,3,3,2.0875,56,810,754,0.9308,43,0.9358,627,670,10,0.9099,101,111,3,0.8965,26,29
Cam,Talbot,EDM,31,G,8475660,67,67,31,31,3,1,3.024,188,2036,1848,0.9076,146,0.9153,1579,1725,40,0.8479,223,263,2,0.9583,46,48
Eddie,Lack,CGY/ NJD,30,G,8475663,8,5,2,4,0,0,4.0161,23,177,154,0.87,12,0.9076,118,130,8,0.7837,29,37,3,0.7,7,10
Sergei,Bobrovsky,CBJ,30,G,8475683,65,65,37,22,6,5,2.4235,158,1993,1835,0.9207,111,0.9346,1587,1698,42,0.8313,207,249,5,0.8913,41,46
Jack,Campbell,LAK,26,G,8475789,5,4,2,0,2,0,2.4754,11,145,134,0.9241,11,0.9,99,110,0,1.0,23,23,0,1.0,12,12
Scott,Wedgewood,ARI,26,G,8475809,20,17,5,9,4,1,3.4473,63,587,524,0.8926,51,0.9019,469,520,9,0.8235,42,51,3,0.8125,13,16
Philipp,Grubauer,WSH,27,G,8475831,35,28,15,10,3,3,2.3487,73,953,880,0.9233,52,0.9329,724,776,20,0.8709,135,155,1,0.9545,21,22
Louis,Domingue,ARI/ TBL,26,G,8475839,19,16,7,9,1,0,3.4085,61,578,517,0.8944,42,0.9106,428,470,17,0.8191,77,94,2,0.8571,12,14
Petr,Mrazek,DET/ PHI,26,G,8475852,39,33,14,13,6,4,3.0333,106,1080,974,0.9018,78,0.9144,834,912,25,0.8239,117,142,3,0.8846,23,26
Frederik,Andersen,TOR,29,G,8475883,66,66,38,21,5,5,2.8082,182,2211,2029,0.9176,148,0.9213,1733,1881,30,0.8892,241,271,4,0.9322,55,59
Keith,Kinkaid,NJD,29,G,8476234,41,38,26,10,3,1,2.7681,106,1214,1108,0.9126,88,0.9142,938,1026,17,0.8903,138,155,1,0.9696,32,33
Laurent,Brossoit,EDM,25,G,8476316,14,10,3,7,1,0,3.2422,40,343,303,0.8833,26,0.9057,250,276,12,0.7692,40,52,2,0.8666,13,15
Anton,Forsberg,CHI,26,G,8476341,35,30,10,16,4,0,2.9741,85,921,836,0.9077,70,0.9096,705,775,15,0.8648,96,111,0,1.0,35,35
John,Gibson,ANA,25,G,8476434,60,60,31,18,7,4,2.4325,139,1872,1733,0.9257,111,0.9272,1414,1525,25,0.9163,274,299,3,0.9375,45,48
Christopher,Gibson,NYI,26,G,8476444,8,8,2,3,2,0,3.6545,26,284,258,0.9084,20,0.9141,213,233,5,0.8958,43,48,1,0.6666,2,3
Maxime,Lagace,VGK,25,G,8476509,16,14,6,7,1,0,3.9152,57,430,373,0.8674,42,0.8761,297,339,14,0.8271,67,81,1,0.9,9,10
Oscar,Dansk,VGK,24,G,8476861,4,3,3,0,0,1,1.7793,5,93,88,0.9462,3,0.961,74,77,1,0.9285,13,14,1,0.5,1,2
Malcolm,Subban,VGK,25,G,8476876,22,19,13,4,2,0,2.6825,55,614,559,0.9104,43,0.9151,464,507,11,0.8764,78,89,1,0.9444,17,18
Andrei,Vasilevskiy,TBL,24,G,8476883,65,64,44,17,3,8,2.6194,167,2075,1908,0.9195,121,0.9291,1586,1707,44,0.8646,281,325,2,0.9534,41,43
Matt,Murray,PIT,24,G,8476899,49,45,27,16,3,1,2.9199,133,1423,1290,0.9065,103,0.9114,1060,1163,29,0.8687,192,221,1,0.9743,38,39
Jon,Gillies,CGY,24,G,8476903,11,9,3,5,1,0,2.8763,29,280,251,0.8964,25,0.8863,195,220,4,0.913,42,46,0,1.0,14,14
Joonas,Korpisalo,CBJ,24,G,8476914,18,17,8,8,1,0,3.318,58,564,506,0.8971,48,0.8976,421,469,8,0.8933,67,75,2,0.9,18,20
Connor,Hellebuyck,WPG,25,G,8476945,67,64,44,11,9,6,2.3601,156,2048,1892,0.9238,114,0.9287,1485,1599,38,0.9012,347,385,4,0.9375,60,64
Linus,Ullmark,BUF,25,G,8476999,5,3,1,2,0,0,1.9975,8,123,115,0.9349,6,0.9473,108,114,2,0.75,6,8,0,1.0,1,1
Aaron,Dell,SJS,29,G,8477180,29,22,15,5,4,2,2.6411,67,775,708,0.9135,54,0.9156,586,640,12,0.8888,96,108,1,0.9629,26,27
Jared,Coreau,DET,27,G,8477225,7,7,0,5,1,0,4.2583,27,203,176,0.8669,20,0.8857,155,175,6,0.7692,20,26,1,0.5,1,2
Mike,Condon,OTT,28,G,8477237,31,26,5,17,5,0,3.2464,88,898,810,0.902,62,0.9185,699,761,24,0.7894,90,114,2,0.913,21,23
Antti,Raanta,ARI,29,G,8477293,47,46,21,17,6,3,2.2392,97,1388,1291,0.9301,73,0.9367,1082,1155,21,0.8944,178,199,3,0.9117,31,34
Juuse,Saros,NSH,23,G,8477424,26,23,11,5,7,3,2.4454,61,810,749,0.9246,46,0.9299,611,657,14,0.9027,130,144,1,0.8888,8,9
Tristan,Jarry,PIT,23,G,8477465,26,23,14,6,2,2,2.7713,63,687,624,0.9082,51,0.909,510,561,11,0.8942,93,104,1,0.9545,21,22
Eric,Comrie,WPG,23,G,8477480,3,3,1,2,0,0,3.9903,12,94,82,0.8723,11,0.8705,74,85,1,0.8571,6,7,0,1.0,2,2
Adin,Hill,ARI,22,G,8478499,4,4,1,3,0,0,3.489,14,129,115,0.8914,12,0.8983,106,118,2,0.7777,7,9,0,1.0,2,2
Ken,Appleby,NJD,23,G,8478965,3,1,0,1,0,0,1.4477,3,55,52,0.9454,2,0.9555,43,45,0,1.0,7,7,1,0.6666,2,3
Casey,DeSmith,PIT,27,G,8479193,14,11,6,4,1,1,2.3994,28,356,328,0.9213,19,0.933,265,284,8,0.8333,40,48,1,0.9583,23,24
Charlie,Lindgren,MTL,25,G,8479292,14,14,4,8,2,2,3.0253,42,457,415,0.908,28,0.9253,347,375,12,0.8356,61,73,2,0.7777,7,9
Alex,Lyon,PHI,26,G,8479312,11,7,4,2,1,0,2.7511,22,232,210,0.9051,19,0.9068,185,204,3,0.8636,19,22,0,1.0,6,6
David,Rittich,CGY,26,G,8479496,21,16,8,6,3,0,2.9159,49,512,463,0.9042,38,0.9084,377,415,10,0.8809,74,84,1,0.923,12,13
Alexandar,Georgiev,NYR,22,G,8480382,10,9,4,4,1,0,3.147,27,331,304,0.9184,22,0.9228,263,285,5,0.8809,37,42,0,1.0,4,4
