First Name,Last Name,Team,Age,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Roberto,Luongo,FLA,39,G,8466141,35,33,18,11,2,3,2.472,81,1143,1062,0.9291,64,0.9326,886,950,16,0.898,141,157,1,0.9722,35,36
Craig,Anderson,OTT,37,G,8467950,58,55,23,25,6,2,3.3225,180,1768,1588,0.8981,145,0.9015,1328,1473,31,0.8719,211,242,4,0.9245,49,53
Ryan,Miller,ANA,38,G,8468011,28,21,12,6,6,4,2.3498,53,739,686,0.9282,35,0.9411,560,595,17,0.865,109,126,1,0.9444,17,18
Henrik,Lundqvist,NYR,36,G,8468685,63,61,26,26,7,2,2.9806,174,2036,1862,0.9145,141,0.9178,1576,1717,31,0.8856,240,271,2,0.9583,46,48
Peter,Budaj,TBL,36,G,8469514,8,7,3,3,1,0,3.7639,27,217,190,0.8755,15,0.9107,153,168,11,0.738,31,42,1,0.8571,6,7
Mike,Smith,CGY,36,G,8469608,55,55,25,22,6,3,2.6515,141,1686,1545,0.9163,106,0.9222,1257,1363,30,0.8892,241,271,5,0.9038,47,52
Kari,Lehtonen,DAL,35,G,8470140,37,30,15,14,3,1,2.5613,83,946,863,0.9122,53,0.9294,698,751,25,0.8475,139,164,5,0.8387,26,31
Curtis,McElhinney,TOR,35,G,8470147,18,15,11,5,1,3,2.1447,35,528,493,0.9337,22,0.9485,406,428,12,0.8666,78,90,1,0.9,9,10
Cam,Ward,CAR,34,G,8470320,43,42,23,14,4,2,2.7324,112,1187,1075,0.9056,89,0.9128,932,1021,19,0.8642,121,140,4,0.8461,22,26
Marc-Andre,Fleury,VGK,34,G,8470594,46,46,29,13,4,4,2.2443,100,1376,1276,0.9273,81,0.9309,1092,1173,17,0.9034,159,176,2,0.9259,25,27
Corey,Crawford,CHI,34,G,8470645,28,27,16,9,2,2,2.2734,60,842,782,0.9287,45,0.9339,636,681,12,0.9083,119,131,3,0.9,27,30
Jimmy,Howard,DET,34,G,8470657,60,57,22,27,9,1,2.8506,160,1770,1610,0.9096,122,0.9162,1334,1456,36,0.869,239,275,2,0.9487,37,39
Jaroslav,Halak,NYI,33,G,8470860,54,49,20,26,6,1,3.1943,161,1744,1583,0.9076,117,0.9176,1303,1420,37,0.8629,233,270,7,0.8703,47,54
Brian,Elliott,PHI,33,G,8470880,43,42,23,11,7,1,2.6645,112,1228,1116,0.9087,77,0.9252,953,1030,29,0.8116,125,154,6,0.8636,38,44
Al,Montoya,MTL/ EDM,33,G,8471219,13,8,4,3,2,0,3.2093,37,346,309,0.893,25,0.9155,271,296,11,0.7317,30,41,1,0.8888,8,9
Devan,Dubnyk,MIN,32,G,8471227,60,59,35,16,7,5,2.5215,145,1769,1624,0.918,110,0.9262,1381,1491,32,0.8672,209,241,3,0.9189,34,37
Cory,Schneider,NJD,32,G,8471239,40,40,17,16,6,1,2.9327,114,1228,1114,0.9071,85,0.9146,911,996,27,0.8622,169,196,2,0.9444,34,36
Jeff,Glass,CHI,33,G,8471301,15,13,3,7,3,0,3.3621,46,452,406,0.8982,35,0.9064,339,374,9,0.8695,60,69,2,0.7777,7,9
Thomas,Greiss,NYI,32,G,8471306,27,25,13,8,2,1,3.821,95,879,784,0.8919,72,0.902,663,735,20,0.8319,99,119,3,0.88,22,25
Anton,Khudobin,BOS,32,G,8471418,31,29,16,6,7,1,2.5607,76,876,800,0.9132,57,0.9172,632,689,16,0.8888,128,144,3,0.9302,40,43
Pekka,Rinne,NSH,36,G,8471469,59,59,42,13,4,8,2.3133,134,1840,1706,0.9271,91,0.9385,1389,1480,40,0.8675,262,302,3,0.9482,55,58
Carey,Price,MTL,31,G,8471679,49,48,16,26,7,1,3.1107,148,1487,1339,0.9004,112,0.9086,1114,1226,33,0.8486,185,218,3,0.9302,40,43
Tuukka,Rask,BOS,31,G,8471695,54,53,34,14,5,3,2.3636,125,1513,1388,0.9173,94,0.9237,1139,1233,24,0.8947,204,228,7,0.8653,45,52
Ondrej,Pavelec,NYR,31,G,8471715,19,12,4,9,1,1,3.0541,46,510,464,0.9098,34,0.9205,394,428,9,0.8732,62,71,3,0.7272,8,11
Jonathan,Quick,LAK,32,G,8471734,64,63,33,28,3,5,2.3986,147,1867,1720,0.9212,114,0.925,1407,1521,30,0.8954,257,287,3,0.9491,56,59
Ben,Bishop,DAL,32,G,8471750,53,51,26,17,5,5,2.494,120,1437,1317,0.9164,89,0.922,1053,1142,28,0.8857,217,245,3,0.94,47,50
Alex,Stalock,MIN,31,G,8471774,28,23,10,10,4,1,2.8489,71,787,716,0.9097,51,0.9148,548,599,18,0.8895,145,163,2,0.92,23,25
Chad,Johnson,BUF,32,G,8473434,36,29,10,16,3,0,3.5522,105,962,857,0.8908,79,0.9007,717,796,23,0.8413,122,145,3,0.8571,18,21
Steve,Mason,WPG,30,G,8473461,13,12,5,6,1,1,3.2414,37,392,355,0.9056,27,0.9111,277,304,10,0.8701,67,77,0,1.0,11,11
Reto,Berra,ANA,31,G,8473499,5,1,1,1,0,0,2.3083,7,95,88,0.9263,3,0.9545,63,66,4,0.862,25,29,0,0.0,0,0
James,Reimer,FLA,30,G,8473503,44,42,22,14,6,4,2.9857,120,1373,1253,0.9126,95,0.9144,1015,1110,23,0.9025,213,236,2,0.9259,25,27
Jonathan,Bernier,COL,30,G,8473541,37,34,19,13,3,2,2.848,95,1092,997,0.913,67,0.9225,798,865,22,0.89,178,200,6,0.7777,21,27
Semyon,Varlamov,COL,30,G,8473575,51,47,24,16,6,2,2.6843,128,1595,1467,0.9197,100,0.923,1199,1299,23,0.9072,225,248,5,0.8958,43,48
Michal,Neuvirth,PHI,30,G,8473607,22,18,9,7,3,1,2.5993,45,530,485,0.915,30,0.9336,422,452,12,0.8095,51,63,3,0.8,12,15
Scott,Darling,CAR,30,G,8474152,43,40,13,21,7,0,3.1756,131,1171,1040,0.8881,105,0.8968,913,1018,24,0.8,96,120,2,0.9393,31,33
Antti,Niemi,PIT/ FLA/ MTL,35,G,8474550,24,20,7,9,4,1,3.1159,63,710,647,0.9112,40,0.9276,513,553,23,0.8357,117,140,0,1.0,17,17
Jacob,Markstrom,VAN,28,G,8474593,60,57,23,26,7,2,2.7067,154,1745,1591,0.9117,112,0.9231,1345,1457,37,0.8391,193,230,5,0.9137,53,58
Jake,Allen,STL,28,G,8474596,59,56,27,25,3,1,2.7495,152,1614,1462,0.9058,110,0.9189,1247,1357,36,0.8341,181,217,6,0.85,34,40
Michael,Hutchinson,WPG,28,G,8474636,3,3,2,1,0,0,3.2621,7,75,68,0.9066,5,0.909,50,55,0,1.0,18,18,2,0.0,0,2
