Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
28.46,Marcus,Foligno,27,Minnesota Wild,L,9,13,1,2,86,201
28.36,Vinnie,Hinostroza,24,Arizona Coyotes,C,13,22,8,-2,147,50
28.31,Brett,Ritchie,25,Dallas Stars,R,10,10,2,0,124,167
28.27,Sven,Baertschi,26,Vancouver Canucks,L,16,18,12,-6,128,39
28.21,Brandon,Dubinsky,32,Columbus Blue Jackets,C,10,17,2,0,99,161
28.21,Christian,Dvorak,22,Arizona Coyotes,C,14,20,6,-3,129,77
28.1,Andrew,Cogliano,31,Anaheim Ducks,L,13,20,3,1,152,80
27.97,Jimmy,Vesey,25,New York Rangers,L,18,12,4,-10,146,78
27.89,Jesse,Puljujarvi,20,Edmonton Oilers,R,15,15,4,-3,158,74
27.85,Jakub,Vrana,22,Washington Capitals,L,17,18,5,6,161,42
27.82,Marcus,Johansson,28,New Jersey Devils,L,15,22,11,-1,129,31
27.67,Stefan,Noesen,25,New Jersey Devils,R,13,13,2,0,137,121
27.48,Andre,Burakovsky,23,Washington Capitals,L,15,21,6,-5,137,54
27.35,Alex,Iafallo,25,Los Angeles Kings,L,13,20,6,-1,139,67
27.34,Ondrej,Kase,23,Anaheim Ducks,R,17,20,6,2,147,36
27.33,Denis,Malgin,21,Florida Panthers,C,13,19,6,0,135,74
27.24,Darren,Helm,31,Detroit Red Wings,L,11,15,1,-8,146,120
27.19,Frans,Nielsen,34,Detroit Red Wings,C,12,23,9,-8,126,54
27.08,Jesper,Fast,27,New York Rangers,R,10,20,1,0,108,138
27.05,Zemgus,Girgensons,24,Buffalo Sabres,C,10,15,1,-2,124,143
26.98,Kyle,Clifford,27,Los Angeles Kings,L,10,9,0,0,113,180
26.78,Tyler,Pitlick,27,Dallas Stars,C,13,11,2,3,132,125
26.69,Ryan,Strome,25,Edmonton Oilers,C,12,19,6,-2,145,66
26.63,Matt,Martin,29,New York Islanders,L,7,6,0,4,72,241
26.61,Jean-Gabriel,Pageau,26,Ottawa Senators,C,12,16,3,0,126,110
26.57,Casey,Cizikas,27,New York Islanders,C,12,16,0,4,100,149
26.45,Michael,Grabner,31,Arizona Coyotes,R,19,14,0,3,157,65
26.26,Oskar,Lindblom,22,Philadelphia Flyers,L,12,17,4,1,130,94
26.08,Pavel,Zacha,21,New Jersey Devils,C,11,20,6,-1,126,79
25.98,Joel,Eriksson Ek,21,Minnesota Wild,C,10,14,2,1,127,129
25.9,Cal,Clutterbuck,31,New York Islanders,R,6,7,0,-3,92,220
25.73,John,Hayden,23,Chicago Blackhawks,R,8,13,2,-5,97,168
25.68,Sean,Kuraly,25,Boston Bruins,C,9,11,0,0,138,146
25.66,J.T.,Compher,23,Colorado Avalanche,L,16,15,6,-4,140,52
25.61,Artem,Anisimov,30,Chicago Blackhawks,C,17,21,7,0,132,24
25.59,Jordan,Martinook,26,Carolina Hurricanes,L,13,12,0,0,123,130
25.53,Tyson,Jost,20,Colorado Avalanche,C,15,15,7,-5,139,52
25.41,Dominik,Simon,24,Pittsburgh Penguins,C,11,21,4,6,107,97
25.33,Andrew,Ladd,33,New York Islanders,L,14,15,3,3,123,93
24.88,Evan,Rodrigues,25,Buffalo Sabres,L,11,22,7,-2,151,34
24.87,Cedric,Paquette,25,Tampa Bay Lightning,C,10,9,0,-3,97,175
24.67,Scott,Laughton,24,Philadelphia Flyers,C,13,14,1,1,113,117
24.53,Garnet,Hathaway,27,Calgary Flames,R,7,10,1,2,80,195
24.44,Jesper,Bratt,20,New Jersey Devils,L,12,23,8,-2,115,45
24.04,Ryan,Reaves,31,Vegas Golden Knights,R,6,3,1,1,54,245
24.01,Colin,Wilson,29,Colorado Avalanche,C,13,17,7,-1,118,61
23.96,Calle,Jarnkrok,27,Nashville Predators,C,17,17,4,6,126,47
23.95,Colton,Sissons,25,Nashville Predators,C,10,14,3,10,105,124
23.93,Zack,Smith,30,Ottawa Senators,L,12,13,1,0,117,117
23.83,Ryan,Callahan,33,Tampa Bay Lightning,R,8,11,1,-3,112,152
23.79,Brett,Connolly,26,Washington Capitals,R,11,18,4,1,113,89
23.63,Devante,Smith-Pelly,26,Washington Capitals,R,10,11,0,-5,112,144
23.6,Riley,Nash,29,Columbus Blue Jackets,C,10,20,4,2,114,85
23.45,Zac,Rinaldo,28,Nashville Predators,C,5,1,0,-2,72,244
23.41,Brandon,Sutter,29,Vancouver Canucks,C,14,14,2,-11,138,73
23.4,Vladimir,Sobotka,31,Buffalo Sabres,C,9,17,2,-5,113,113
23.2,Colton,Sceviour,29,Florida Panthers,C,12,12,1,-2,141,94
23.12,Jamie,McGinn,30,Florida Panthers,L,11,12,4,-4,109,109
23.02,Ryan,Carpenter,27,Vegas Golden Knights,C,10,10,0,-7,129,128
22.94,Markus,Granlund,25,Vancouver Canucks,C,15,11,3,-1,136,70
22.88,Martin,Hanzal,31,Dallas Stars,C,9,13,4,-3,114,111
22.87,Sam,Gagner,29,Vancouver Canucks,C,12,17,7,-2,131,46
22.85,Luke,Glendening,29,Detroit Red Wings,C,8,14,0,2,93,154
22.77,Jujhar,Khaira,24,Edmonton Oilers,L,8,16,1,-2,93,140
22.71,Tyler,Motte,23,Vancouver Canucks,C,9,7,0,-3,112,157
22.69,Zack,Kassian,27,Edmonton Oilers,R,8,12,1,-7,91,156
22.62,Tim,Schaller,28,Vancouver Canucks,C,9,14,0,0,113,129
22.5,Noel,Acciari,27,Boston Bruins,C,6,5,0,-4,94,196
22.42,Martin,Frk,25,Detroit Red Wings,R,11,15,5,-2,110,85
22.29,Connor,Brown,24,Toronto Maple Leafs,R,14,17,5,-4,128,43
22.0,Phillip,Di Giuseppe,25,Carolina Hurricanes,L,8,14,2,-2,100,129
21.7,Dylan,Strome,21,Arizona Coyotes,C,13,15,7,-3,136,33
21.55,Loui,Eriksson,33,Vancouver Canucks,L,14,19,5,-6,141,18
21.34,Darren,Archibald,28,Vancouver Canucks,R,7,9,0,0,76,180
21.04,Adam,Erne,23,Tampa Bay Lightning,L,10,8,1,-2,107,131
20.82,Mattias,Janmark,26,Dallas Stars,C,15,16,4,-7,137,26
20.81,Troy,Brouwer,33,Florida Panthers,R,8,13,3,-1,77,136
20.26,Andrew,Copp,24,Winnipeg Jets,C,10,15,2,7,94,103
20.21,Austin,Watson,26,Nashville Predators,L,9,9,0,0,89,147
20.03,Cody,Eakin,27,Vegas Golden Knights,C,13,15,2,-4,108,71
20.01,Derek,Ryan,32,Calgary Flames,C,12,19,5,0,105,47
19.86,Riley,Sheahan,27,Pittsburgh Penguins,C,11,16,3,-8,114,67
19.61,Mark,Jankowski,24,Calgary Flames,C,13,14,3,-3,132,45
19.35,Antoine,Roussel,29,Vancouver Canucks,L,10,14,1,2,84,113
19.29,Matt,Calvert,29,Colorado Avalanche,L,9,12,2,-2,121,89
19.19,Drew,Stafford,33,New Jersey Devils,R,11,9,2,-6,119,89
19.13,Brendan,Leipsic,24,Vancouver Canucks,L,9,19,4,-8,123,48
18.99,Joakim,Nordstrom,26,Boston Bruins,C,10,9,0,0,107,115
18.94,Jacob,de la Rose,23,Detroit Red Wings,L,7,9,1,0,75,154
18.64,Sonny,Milano,22,Columbus Blue Jackets,L,14,13,4,0,110,47
18.4,Jack,Roslovic,21,Winnipeg Jets,C,10,18,4,1,108,52
18.3,Maxim,Mamin,23,Florida Panthers,C,8,6,0,1,92,145
18.23,Colin,White,21,Ottawa Senators,C,12,13,4,-3,113,53
18.21,Dale,Weise,30,Philadelphia Flyers,R,7,9,0,0,92,139
18.17,Tage,Thompson,21,Buffalo Sabres,C,8,14,3,-2,109,82
18.02,Chris,Kunitz,39,Chicago Blackhawks,L,6,12,0,-3,85,138
17.71,Tomas,Plekanec,36,Montreal Canadiens,C,10,16,3,0,113,55
17.69,Anders,Bjork,22,Boston Bruins,L,10,17,5,3,97,53
