Value,First Name,Last Name,Age,Team,Position,GS,W,SV%,GAA,SO,G,A,PPP,+/-,SOG,HITS
70.07,Patrik,Laine,20,Winnipeg Jets,R,"","","","","",36,34,25,-3,264,67
69.91,Mikko,Rantanen,22,Colorado Avalanche,R,"","","","","",25,52,24,5,193,33
69.58,Torey,Krug,27,Boston Bruins,D,"","","","","",11,41,21,0,201,68
69.37,Nicklas,Backstrom,31,Washington Capitals,C,"","","","","",20,53,30,6,160,36
69.13,Corey,Crawford,34,Chicago Blackhawks,G,47,22,0.9255,2.3798,2,"","","","","",""
68.86,Patric,Hornqvist,31,Pittsburgh Penguins,R,"","","","","",25,26,17,2,254,149
68.78,John,Tavares,28,Toronto Maple Leafs,C,"","","","","",34,45,26,-4,263,32
68.56,Kyle,Palmieri,27,New Jersey Devils,R,"","","","","",32,26,24,-1,231,118
67.87,Jake,Allen,28,St. Louis Blues,G,56,24,0.911,2.6171,2,"","","","","",""
67.68,Mark,Scheifele,25,Winnipeg Jets,C,"","","","","",27,42,22,4,197,58
67.46,Matt,Dumba,24,Minnesota Wild,D,"","","","","",13,28,13,3,185,131
67.25,Steven,Stamkos,28,Tampa Bay Lightning,C,"","","","","",25,45,26,-1,230,65
67.04,Mitchell,Marner,21,Toronto Maple Leafs,C,"","","","","",24,51,25,2,211,31
66.48,William,Karlsson,25,Vegas Golden Knights,C,"","","","","",27,35,14,11,181,47
66.44,Jaden,Schwartz,26,St. Louis Blues,L,"","","","","",24,40,17,7,200,62
66.08,Anze,Kopitar,31,Los Angeles Kings,C,"","","","","",26,46,22,3,191,51
65.96,Evgenii,Dadonov,29,Florida Panthers,R,"","","","","",27,41,15,8,209,26
65.92,Colton,Parayko,25,St. Louis Blues,D,"","","","","",10,29,12,6,200,110
65.61,Mark,Stone,26,Ottawa Senators,R,"","","","","",26,42,20,4,190,62
65.61,Brian,Elliott,33,Philadelphia Flyers,G,49,24,0.9133,2.5826,2,"","","","","",""
65.29,Jack,Eichel,22,Buffalo Sabres,C,"","","","","",29,46,26,-9,301,55
65.23,Jason,Zucker,26,Minnesota Wild,L,"","","","","",28,29,12,7,223,77
64.18,Jakub,Voracek,29,Philadelphia Flyers,R,"","","","","",20,55,29,-2,225,27
64.09,Brayden,Point,22,Tampa Bay Lightning,C,"","","","","",31,36,17,4,217,33
64.06,Ryan,Johansen,26,Nashville Predators,C,"","","","","",17,43,19,8,154,87
63.59,Joe,Pavelski,34,San Jose Sharks,C,"","","","","",25,34,19,3,206,84
63.5,Jonathan,Quick,32,Los Angeles Kings,G,48,20,0.9123,2.5122,2,"","","","","",""
63.48,Teuvo,Teravainen,24,Carolina Hurricanes,L,"","","","","",20,41,19,9,188,28
63.32,Tyson,Barrie,27,Colorado Avalanche,D,"","","","","",11,41,24,-5,202,41
63.16,Sean,Couturier,26,Philadelphia Flyers,C,"","","","","",27,36,15,5,205,59
63.07,Justin,Faulk,26,Carolina Hurricanes,D,"","","","","",10,29,15,-2,228,119
63.02,Jonathan,Toews,30,Chicago Blackhawks,C,"","","","","",24,37,14,7,216,44
63.0,Semyon,Varlamov,30,Colorado Avalanche,G,51,25,0.916,2.7375,2,"","","","","",""
62.96,Robin,Lehner,27,New York Islanders,G,47,22,0.9146,2.7973,3,"","","","","",""
62.58,T.J.,Oshie,32,Washington Capitals,R,"","","","","",21,26,13,10,150,127
62.46,Mikhail,Sergachev,20,Tampa Bay Lightning,D,"","","","","",8,35,14,7,163,88
62.26,Shea,Weber,33,Montreal Canadiens,D,"","","","","",11,21,13,1,190,160
62.26,Sean,Monahan,24,Calgary Flames,C,"","","","","",31,39,22,-1,221,33
61.99,Carter,Hutton,33,Buffalo Sabres,G,52,23,0.9166,2.7262,2,"","","","","",""
61.9,Hampus,Lindholm,24,Anaheim Ducks,D,"","","","","",14,26,11,4,162,105
61.79,Rasmus,Ristolainen,24,Buffalo Sabres,D,"","","","","",8,36,21,-13,204,200
61.59,Craig,Anderson,37,Ottawa Senators,G,56,23,0.9136,2.8016,2,"","","","","",""
61.39,Mikael,Granlund,26,Minnesota Wild,R,"","","","","",22,41,19,4,200,47
61.07,Josh,Anderson,24,Columbus Blue Jackets,R,"","","","","",25,17,6,8,210,136
61.04,Viktor,Arvidsson,25,Nashville Predators,L,"","","","","",30,30,11,5,243,33
61.02,Charlie,McAvoy,21,Boston Bruins,D,"","","","","",7,36,9,8,126,150
61.01,Rickard,Rakell,25,Anaheim Ducks,C,"","","","","",29,33,19,-5,233,114
60.56,Mattias,Ekholm,28,Nashville Predators,D,"","","","","",11,28,9,12,138,75
60.47,Jake,Muzzin,29,Los Angeles Kings,D,"","","","","",9,30,12,0,170,166
60.41,Alexander,Radulov,32,Dallas Stars,R,"","","","","",24,43,21,-1,193,74
60.37,Jordan,Staal,30,Carolina Hurricanes,C,"","","","","",21,29,10,4,168,171
59.46,Jonathan,Huberdeau,25,Florida Panthers,L,"","","","","",26,43,18,0,214,39
59.26,Josh,Manson,27,Anaheim Ducks,D,"","","","","",7,21,3,15,122,180
59.23,Ryan,Getzlaf,33,Anaheim Ducks,C,"","","","","",14,49,21,1,151,114
59.17,Logan,Couture,29,San Jose Sharks,C,"","","","","",30,31,17,2,213,39
58.89,Jeff,Skinner,26,Buffalo Sabres,C,"","","","","",29,27,12,3,259,35
58.52,Oliver,Ekman-Larsson,27,Arizona Coyotes,D,"","","","","",10,33,14,-7,202,148
58.4,Reilly,Smith,27,Vegas Golden Knights,R,"","","","","",22,33,16,6,189,51
58.05,Ryan,Suter,33,Minnesota Wild,D,"","","","","",8,38,16,3,153,72
58.04,Juuse,Saros,23,Nashville Predators,G,27,19,0.9218,2.335,2,"","","","","",""
57.99,Alex,Pietrangelo,28,St. Louis Blues,D,"","","","","",12,35,13,-2,210,51
57.81,Micheal,Ferland,26,Carolina Hurricanes,L,"","","","","",20,21,7,6,169,175
57.56,Leon,Draisaitl,23,Edmonton Oilers,C,"","","","","",27,47,22,-4,198,39
57.22,Jacob,Markstrom,28,Vancouver Canucks,G,52,21,0.9127,2.8219,2,"","","","","",""
56.97,Nikolaj,Ehlers,22,Winnipeg Jets,L,"","","","","",25,37,17,0,222,43
56.91,Ivan,Provorov,21,Philadelphia Flyers,D,"","","","","",11,30,8,-2,197,131
56.69,Jacob,Trouba,24,Winnipeg Jets,D,"","","","","",8,28,7,4,192,125
56.38,Ryan,Nugent-Hopkins,25,Edmonton Oilers,C,"","","","","",24,34,17,1,209,54
56.33,Keith,Kinkaid,29,New Jersey Devils,G,35,18,0.911,2.6992,3,"","","","","",""
56.19,Jeff,Carter,33,Los Angeles Kings,C,"","","","","",29,25,18,-3,237,75
56.11,Jeff,Petry,31,Montreal Canadiens,D,"","","","","",9,29,13,-3,169,157
56.08,Mathew,Barzal,21,New York Islanders,C,"","","","","",21,63,26,-6,183,15
56.0,Colin,Miller,26,Vegas Golden Knights,D,"","","","","",9,27,10,2,164,139
55.98,Alex,DeBrincat,21,Chicago Blackhawks,R,"","","","","",29,31,12,3,204,39
