Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
22.22,Connor,Brown,24,Toronto Maple Leafs,R,15,18,5,-4,132,39
21.66,Dale,Weise,30,Philadelphia Flyers,R,8,8,0,0,86,136
21.47,Tobias,Rieder,25,Edmonton Oilers,R,12,17,4,-7,140,91
21.29,Nikolay,Goldobin,23,Vancouver Canucks,R,14,12,2,0,124,34
21.25,Nikita,Scherbak,23,Montreal Canadiens,R,12,9,3,0,117,58
21.01,Tom,Kuhnhackl,26,New York Islanders,R,7,10,0,0,69,143
20.92,J.T.,Brown,28,Minnesota Wild,R,7,10,0,1,80,120
19.86,Joshua,Ho-Sang,22,New York Islanders,R,10,21,6,0,87,19
19.71,Zack,Kassian,27,Edmonton Oilers,R,8,13,1,-5,92,149
19.09,Jimmy,Hayes,29,Pittsburgh Penguins,R,8,8,1,-1,91,113
18.92,Drew,Stafford,33,New Jersey Devils,R,12,10,2,-5,126,92
18.67,Jonny,Brodzinski,25,Los Angeles Kings,R,9,6,0,0,117,81
17.16,Josh,Jooris,28,Toronto Maple Leafs,R,8,8,0,0,87,91
16.09,Marian,Gaborik,36,Ottawa Senators,R,13,10,4,-4,129,31
14.86,Carter,Rowney,29,Anaheim Ducks,R,4,6,0,0,44,139
14.78,Nick,Baptiste,23,Nashville Predators,R,10,6,0,0,104,48
13.84,Luke,Witkowski,28,Detroit Red Wings,R,3,5,0,0,43,140
13.27,Alex,Chiasson,28,Edmonton Oilers,R,8,8,0,-2,87,78
11.5,Zack,Mitchell,25,Los Angeles Kings,R,5,2,0,0,74,89
10.98,Chris,Thorburn,35,St. Louis Blues,R,3,0,0,0,33,140
