Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
39.22,Nick,Schmaltz,22,Chicago Blackhawks,C,17,36,12,0,142,23
38.41,Paul,Stastny,33,Vegas Golden Knights,C,15,30,10,2,137,42
38.4,Patrik,Berglund,30,Buffalo Sabres,C,18,12,5,0,143,142
37.39,Vladislav,Namestnikov,26,New York Rangers,C,18,24,10,-2,150,75
37.36,Ryan,Spooner,26,New York Rangers,C,15,29,13,-4,161,72
37.12,Radek,Faksa,24,Dallas Stars,C,16,20,4,2,135,99
36.8,Patrick,Marleau,39,Toronto Maple Leafs,C,18,19,9,-2,170,77
36.6,Victor,Rask,25,Carolina Hurricanes,C,16,23,11,0,144,58
36.44,Henrik,Zetterberg,38,Detroit Red Wings,C,11,32,13,0,141,44
36.09,Riley,Nash,29,Columbus Blue Jackets,C,11,21,5,5,118,88
36.05,Leo,Komarov,31,New York Islanders,C,10,13,2,-1,112,223
34.72,Anthony,Beauvillier,21,New York Islanders,C,18,20,8,-4,164,89
34.32,Chris,Tierney,24,Ottawa Senators,C,16,28,10,0,126,38
34.22,Ryan,Kesler,34,Anaheim Ducks,C,16,18,8,-3,133,119
34.22,Andrew,Copp,24,Winnipeg Jets,C,11,16,2,7,97,100
34.03,Brandon,Dubinsky,32,Columbus Blue Jackets,C,11,18,2,0,104,172
33.94,Pavel,Zacha,21,New Jersey Devils,C,12,22,7,1,134,81
33.83,Jean-Gabriel,Pageau,26,Ottawa Senators,C,13,18,3,0,139,121
33.58,Denis,Malgin,21,Florida Panthers,C,14,20,7,0,141,79
33.54,Brian,Boyle,34,New Jersey Devils,C,15,9,4,1,125,134
32.83,Frank,Vatrano,24,Florida Panthers,C,16,12,2,0,160,103
32.71,Tyler,Pitlick,27,Dallas Stars,C,12,11,1,3,134,122
32.57,Scott,Laughton,24,Philadelphia Flyers,C,14,16,1,2,117,116
32.19,Travis,Zajac,33,New Jersey Devils,C,14,21,7,1,110,76
32.11,Bryan,Little,31,Winnipeg Jets,C,16,27,10,-3,135,50
31.98,Vinnie,Hinostroza,24,Arizona Coyotes,C,13,22,8,0,149,49
31.76,Sean,Kuraly,25,Boston Bruins,C,10,12,0,1,138,149
