First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
Ryan,McDonagh,29,player[12],D,6,27,10,4,137,90
Max,Pacioretty,30,player[12],L,25,29,16,-1,253,121
Jakub,Voracek,29,player[12],R,20,53,29,-3,227,25
Jake,Muzzin,29,player[12],D,10,31,14,0,178,170
Alec,Martinez,31,player[12],D,8,20,8,-5,125,112
Carl,Hagelin,30,player[12],L,14,22,4,6,156,105
Wayne,Simmonds,30,player[12],R,23,26,16,-6,196,132
Nick,Holden,31,player[12],D,4,14,1,-1,90,152
Jason,Demers,30,player[12],D,6,18,4,0,114,87
Zack,Smith,30,player[12],L,13,13,2,-2,128,116
Drew,Doughty,29,player[12],D,13,42,20,4,199,115
Alex,Pietrangelo,28,player[12],D,14,38,15,3,218,51
Luke,Schenn,29,player[12],D,1,9,0,-6,81,257
Mikkel,Boedker,29,player[12],L,15,23,9,-6,137,53
Josh,Bailey,29,player[12],R,17,40,21,-8,160,23
Tyler,Myers,28,player[12],D,7,27,10,1,152,71
Erik,Karlsson,28,player[12],D,13,56,25,-3,231,59
Luca,Sbisa,28,player[12],D,1,13,2,-1,87,133
Jake,Gardiner,28,player[12],D,8,36,14,-1,139,59
Michael,Del Zotto,28,player[12],D,5,17,3,-5,136,223
John,Carlson,28,player[12],D,12,45,23,-1,226,49
Roman,Josi,28,player[12],D,15,44,22,2,253,75
Justin,Schultz,28,player[12],D,7,27,12,2,143,54
Travis,Hamonic,28,player[12],D,5,15,1,-2,124,103
Marco,Scandella,28,player[12],D,6,16,3,-4,133,90
Jimmy,Hayes,29,player[12],R,9,9,2,-2,99,122
Michael,Stone,28,player[12],D,3,17,3,0,112,114
Dale,Weise,30,player[12],R,9,7,0,-2,93,137
TJ,Brodie,28,player[12],D,7,33,11,-2,122,34
Gustav,Nyquist,29,player[12],R,20,26,10,-1,187,64
Matt,Calvert,29,player[12],L,12,13,2,-1,120,80
Greg,Pateryn,28,player[12],D,3,15,1,2,104,167
Mark,Borowiecki,29,player[12],D,0,7,0,0,88,328
Matt,Martin,29,player[12],L,6,7,0,1,72,240
Cam,Atkinson,29,player[12],R,29,27,15,1,255,40
Jared,Spurgeon,29,player[12],D,10,28,13,6,154,79
Mark,Barberio,28,player[12],D,4,17,3,-1,104,54
Luke,Witkowski,28,player[12],R,4,6,0,0,46,154
Jordie,Benn,31,player[12],D,4,13,0,4,98,99
Antoine,Roussel,29,player[12],L,11,15,2,3,93,113
Mike,Hoffman,29,player[12],L,24,33,19,-5,239,32
Marcus,Johansson,28,player[12],L,16,23,11,1,129,30
Kyle,Palmieri,27,player[12],R,27,27,21,-2,226,112
Kyle,Clifford,27,player[12],L,11,11,1,1,123,187
Alex,Chiasson,28,player[12],R,9,9,1,-3,94,85
Jakob,Silfverberg,28,player[12],R,21,25,10,2,197,59
Victor,Hedman,28,player[12],D,16,48,24,3,219,118
Evander,Kane,27,player[12],L,29,28,13,-4,303,150
Oliver,Ekman-Larsson,27,player[12],D,12,32,16,-8,203,141
Magnus,Paajarvi,27,player[12],L,12,9,0,-1,125,105
Ryan,Ellis,27,player[12],D,14,29,13,6,197,57
Calvin,de Haan,27,player[12],D,5,17,4,1,118,117
Zack,Kassian,27,player[12],R,9,15,2,-4,99,148
Dmitry,Kulikov,28,player[12],D,2,13,2,1,83,102
Nick,Leddy,27,player[12],D,9,34,14,-11,157,90
Chris,Kreider,27,player[12],L,22,25,14,1,189,134
John,Moore,28,player[12],D,6,14,2,-3,138,126
Brayden,McNabb,27,player[12],D,6,13,1,7,101,218
Reilly,Smith,27,player[12],R,23,34,17,3,194,55
Tomas,Tatar,28,player[12],L,21,20,10,-3,166,70
Tyson,Barrie,27,player[12],D,13,41,24,-11,215,46
Dmitry,Orlov,27,player[12],D,9,23,6,3,131,121
Brian,Dumoulin,27,player[12],D,6,18,3,7,110,106
Richard,Panik,27,player[12],R,16,22,8,2,151,142
Mattias,Ekholm,28,player[12],D,10,26,10,5,138,77
Marcus,Foligno,27,player[12],L,10,14,2,0,92,191
Sami,Vatanen,27,player[12],D,7,29,13,-4,161,99
Craig,Smith,29,player[12],R,24,25,12,4,209,69
David,Savard,28,player[12],D,6,17,2,2,144,140
Nicolas,Deslauriers,27,player[12],L,9,8,0,-1,102,286
Kevin,Connauton,28,player[12],D,5,12,1,-6,127,128
Gabriel,Bourque,28,player[12],L,5,7,0,-3,70,169
Ben,Chiarot,27,player[12],D,3,14,2,3,90,143
Erik,Haula,27,player[12],L,24,25,13,0,178,82
Anders,Lee,28,player[12],L,29,26,17,-8,208,106
Nick,Jensen,28,player[12],D,3,16,2,-1,105,81
Darren,Archibald,28,player[12],R,8,12,1,-1,93,220
Brandon,Manning,28,player[12],D,6,15,2,-2,132,139
Brenden,Dillon,28,player[12],D,5,15,2,2,99,183
Radko,Gudas,28,player[12],D,5,17,2,2,155,208
Nate,Prosser,32,player[12],D,0,5,0,1,47,89
Matt,Irwin,31,player[12],D,2,9,0,1,99,127
Christopher,Tanev,29,player[12],D,3,13,1,-1,69,50
Mats,Zuccarello,31,player[12],R,18,34,15,-1,170,64
Jason,Zucker,26,player[12],L,27,29,13,6,214,78
Tyler,Toffoli,26,player[12],R,26,28,13,-1,231,71
Stephen,Johns,26,player[12],D,6,12,1,1,135,206
Connor,Brickley,26,player[12],L,9,14,2,0,104,147
Patrik,Nemeth,26,player[12],D,3,14,1,1,98,90
Jon,Merrill,26,player[12],D,3,9,0,-1,79,90
Justin,Faulk,26,player[12],D,12,28,16,-6,227,127
Alexander,Petrovic,26,player[12],D,3,18,2,4,86,166
Devante,Smith-Pelly,26,player[12],R,10,11,0,-5,113,153
Derek,Forbort,26,player[12],D,4,18,2,2,94,146
Cam,Fowler,27,player[12],D,10,28,12,-2,162,37
Vladimir,Tarasenko,27,player[12],R,35,38,22,2,293,70
Austin,Watson,26,player[12],L,11,12,1,-1,108,178
Jaden,Schwartz,26,player[12],L,27,42,18,8,209,63
Chris,Wagner,27,player[12],R,8,9,0,-4,94,232
Erik,Gudbranson,26,player[12],D,2,9,0,-6,96,186
Taylor,Hall,27,player[12],L,34,50,30,-2,292,66
Brett,Connolly,26,player[12],R,11,14,4,-2,109,94
Mark,Pysyk,26,player[12],D,6,15,1,1,105,99
Mikael,Granlund,26,player[12],R,22,43,20,4,198,51
Nino,Niederreiter,26,player[12],R,23,24,11,3,176,82
Bryan,Rust,26,player[12],R,16,26,8,5,151,113
Joonas,Donskoi,26,player[12],R,18,24,9,5,150,43
Tom,Kuhnhackl,26,player[12],R,8,11,0,-1,75,154
Marcus,Sorensen,26,player[12],L,7,9,0,0,91,74
Tim,Heed,27,player[12],D,6,21,8,1,149,34
Brendan,Gallagher,26,player[12],R,29,32,16,2,261,83
Jesper,Fast,27,player[12],R,11,19,2,-1,100,135
Anthony,Bitetto,28,player[12],D,1,10,0,-1,67,113
Brandon,Davidson,27,player[12],D,5,10,0,2,107,153
John,Klingberg,26,player[12],D,12,50,23,2,197,43
Micheal,Ferland,26,player[12],L,17,21,7,-1,153,171
Mark,Stone,26,player[12],R,25,44,20,1,193,62
Kevan,Miller,31,player[12],D,3,15,1,9,74,182
Ryan,Dzingel,26,player[12],L,18,21,7,-2,144,70
Ondrej,Palat,27,player[12],L,18,31,14,1,163,112
Rob,O'Gara,25,player[12],D,1,7,0,-1,68,118
Josh,Manson,27,player[12],D,8,22,4,7,124,175
Max,McCormick,26,player[12],L,8,7,0,-1,102,152
Josh,Archibald,26,player[12],R,9,9,0,-1,91,161
Dylan,DeMelo,25,player[12],D,4,20,5,2,98,99
Johnny,Gaudreau,25,player[12],L,26,56,27,0,233,14
Tobias,Rieder,25,player[12],R,14,19,5,-5,141,89
Fredrik,Claesson,26,player[12],D,2,13,0,1,82,184
Nick,Seeler,25,player[12],D,2,13,2,4,74,82
Andrew,Shaw,27,player[12],R,16,19,9,-2,151,129
Mike,Reilly,25,player[12],D,4,18,5,-3,104,62
Scott,Mayfield,26,player[12],D,3,16,2,-4,112,130
Dmitrij,Jaskin,25,player[12],R,10,15,3,6,122,197
Brandon,Saad,26,player[12],L,23,25,8,1,221,35
Brett,Ritchie,25,player[12],R,13,12,3,1,141,182
Joel,Edmundson,25,player[12],D,7,16,3,6,142,141
Matt,Nieto,26,player[12],L,12,15,1,-3,114,45
Xavier,Ouellet,25,player[12],D,4,13,2,0,110,79
Miikka,Salomaki,25,player[12],R,8,11,0,0,75,164
Scott,Harrington,25,player[12],D,2,7,0,0,85,97
Nikita,Kucherov,25,player[12],R,38,56,35,2,281,27
Gabriel,Landeskog,26,player[12],L,23,35,17,-3,198,140
Jonathan,Huberdeau,25,player[12],L,26,44,19,0,210,40
Adam,Larsson,26,player[12],D,5,15,2,4,113,263
Dougie,Hamilton,25,player[12],D,17,36,17,4,249,78
Jonas,Brodin,25,player[12],D,6,17,4,4,105,49
Ryan,Murphy,25,player[12],D,4,14,3,1,110,38
Sven,Baertschi,26,player[12],L,17,19,10,-5,143,40
Jamie,Oleksiak,26,player[12],D,4,14,2,3,103,188
Joel,Armia,25,player[12],R,14,19,5,2,137,93
Nathan,Beaulieu,26,player[12],D,5,18,4,-2,105,71
Oscar,Klefbom,25,player[12],D,10,24,9,0,225,63
Connor,Murphy,25,player[12],D,5,17,3,2,117,152
Stefan,Noesen,25,player[12],R,15,15,3,4,143,121
Joe,Morrow,26,player[12],D,5,17,5,0,129,113
Colin,Miller,26,player[12],D,10,29,12,5,168,145
Zack,Mitchell,25,player[12],R,6,3,0,0,82,99
Barclay,Goodrow,25,player[12],R,10,13,2,2,103,113
Brad,Hunt,30,player[12],D,4,22,10,0,138,43
Torey,Krug,27,player[12],D,13,46,24,1,223,76
J.T.,Brown,28,player[12],R,8,10,0,1,82,123
Ryan,Murray,25,player[12],D,5,18,4,2,85,63
Morgan,Rielly,24,player[12],D,9,38,19,-4,199,56
Hampus,Lindholm,24,player[12],D,14,24,11,5,167,105
Matt,Dumba,24,player[12],D,12,29,13,-2,183,120
Pontus,Aberg,25,player[12],L,10,14,3,0,106,49
Phillip,Di Giuseppe,25,player[12],L,10,17,3,-1,120,151
Brady,Skjei,24,player[12],D,6,26,7,-5,154,124
Tanner,Pearson,26,player[12],L,20,25,8,1,173,110
Olli,Maatta,24,player[12],D,9,21,7,5,158,123
Mike,Matheson,24,player[12],D,10,19,5,0,180,64
Cody,Ceci,25,player[12],D,5,17,3,-7,147,144
Tom,Wilson,24,player[12],R,13,20,5,0,130,235
Teuvo,Teravainen,24,player[12],L,22,38,19,3,188,31
Derrick,Pouliot,24,player[12],D,4,24,7,1,106,93
Jacob,Trouba,24,player[12],D,9,26,8,3,200,123
Slater,Koekkoek,24,player[12],D,5,12,2,1,116,88
Filip,Forsberg,24,player[12],L,30,39,24,4,237,93
Matt,Grzelcyk,24,player[12],D,5,18,5,8,123,68
Colton,Parayko,25,player[12],D,10,31,11,7,202,110
Brendan,Leipsic,24,player[12],L,11,23,5,-2,137,55
Esa,Lindell,24,player[12],D,8,21,7,2,145,97
Shayne,Gostisbehere,25,player[12],D,14,46,27,0,232,51
Jujhar,Khaira,24,player[12],L,10,15,2,0,103,146
Adam,Pelech,24,player[12],D,4,18,3,-1,116,110
Jimmy,Vesey,25,player[12],L,16,14,4,-10,142,85
Jordan,Martinook,26,player[12],L,11,14,1,-2,109,114
Damon,Severson,24,player[12],D,8,25,7,-3,142,107
Martin,Frk,25,player[12],R,13,18,6,-2,126,93
Jake,McCabe,25,player[12],D,5,16,3,-1,96,149
Brock,McGinn,24,player[12],L,16,19,5,0,153,132
Connor,Carrick,24,player[12],D,6,13,4,2,117,85
Charles,Hudon,24,player[12],L,14,26,9,-3,193,136
Taylor,Leier,24,player[12],L,9,11,1,0,92,40
Jaccob,Slavin,24,player[12],D,11,28,8,5,151,54
Brett,Kulak,24,player[12],D,4,12,1,3,96,64
Kevin,Roy,25,player[12],L,13,3,0,-1,108,47
Erik,Gustafsson,26,player[12],D,7,25,8,4,163,72
Josh,Anderson,24,player[12],R,23,19,7,4,207,137
Matt,Benning,24,player[12],D,6,19,4,1,131,156
Jake,Dotchin,24,player[12],D,3,18,3,4,107,158
Connor,Brown,24,player[12],R,16,18,5,-1,133,36
Ben,Hutton,25,player[12],D,5,18,4,-8,136,62
Christian,Djoos,24,player[12],D,4,15,3,5,96,43
Joakim,Ryan,25,player[12],D,5,16,2,4,114,56
Kurtis,MacDermid,24,player[12],D,1,10,0,-2,66,177
Andrej,Sustr,28,player[12],D,5,13,1,-1,89,37
Danny,DeKeyser,28,player[12],D,5,11,0,-1,93,100
Nate,Schmidt,27,player[12],D,6,25,8,4,116,58
Carter,Rowney,29,player[12],R,4,7,0,0,47,141
Chad,Ruhwedel,28,player[12],D,3,12,1,3,119,121
Michael,Raffl,30,player[12],L,12,12,1,0,107,105
John,Gilmour,25,player[12],D,5,11,2,-2,178,86
MacKenzie,Weegar,24,player[12],D,3,13,1,4,93,145
Will,Butcher,23,player[12],D,6,41,16,7,115,28
Tucker,Poolman,25,player[12],D,3,8,0,2,102,79
Jonny,Brodzinski,25,player[12],R,11,7,1,-1,130,90
John,Hayden,23,player[12],R,9,17,3,0,111,195
Pavel,Buchnevich,23,player[12],R,17,31,13,-3,156,56
Anthony,Duclair,23,player[12],L,17,20,7,0,141,63
Sven,Andrighetto,25,player[12],R,16,23,10,-4,164,71
Oliver,Bjorkstrand,23,player[12],R,16,30,10,3,168,64
Miles,Wood,23,player[12],L,19,19,6,-2,180,84
Ben,Harpur,23,player[12],D,2,8,0,-2,66,141
Andre,Burakovsky,23,player[12],L,17,24,8,1,143,58
Shea,Theodore,23,player[12],D,9,28,11,-2,191,46
Ryan,Hartman,24,player[12],R,16,21,6,0,150,115
Ian,McCoshen,23,player[12],D,2,9,0,0,82,149
Adam,Erne,23,player[12],L,11,7,1,0,118,144
Jacob,de la Rose,23,player[12],L,8,12,2,-1,87,177
J.T.,Compher,23,player[12],L,16,17,6,-5,157,61
Remi,Elie,23,player[12],L,10,15,2,1,90,116
Robert,Hagg,23,player[12],D,3,9,0,-3,119,256
Steven,Santini,23,player[12],D,4,14,2,-3,134,224
Gustav,Olofsson,24,player[12],D,3,15,3,2,60,59
Madison,Bowey,23,player[12],D,3,20,3,-3,91,83
Artturi,Lehkonen,23,player[12],L,19,17,6,0,194,88
William,Carrier,24,player[12],L,8,9,0,1,107,228
Tyler,Bertuzzi,23,player[12],L,13,23,7,-1,145,91
Brett,Pesce,24,player[12],D,8,21,5,1,122,74
Nick,Baptiste,23,player[12],R,12,7,1,-1,116,54
Seth,Jones,24,player[12],D,17,41,21,6,238,88
Darnell,Nurse,23,player[12],D,8,20,4,3,187,158
Rasmus,Ristolainen,24,player[12],D,8,38,21,-8,208,195
Max,Domi,23,player[12],L,15,35,13,-6,157,48
Josh,Morrissey,23,player[12],D,7,20,4,6,123,136
Ryan,Pulock,24,player[12],D,10,25,10,-5,214,125
Nikita,Zadorov,23,player[12],D,4,18,3,-5,117,258
Mirco,Mueller,23,player[12],D,4,11,1,1,72,56
Anthony,Mantha,24,player[12],R,23,28,12,1,197,84
Ross,Johnston,24,player[12],L,7,5,0,-1,83,154
Josh,Jooris,28,player[12],R,9,10,0,0,98,103
Conor,Sheary,26,player[12],L,20,21,6,3,154,37
Trevor,van Riemsdyk,27,player[12],D,6,15,3,10,112,43
Christian,Folin,27,player[12],D,2,13,1,3,80,184
Jordan,Oesterle,26,player[12],D,6,18,4,0,148,93
Daniel,Carr,27,player[12],L,12,15,5,0,120,69
Garnet,Hathaway,27,player[12],R,7,13,2,3,87,199
Pierre-Edouard,Bellemare,33,player[12],L,8,8,0,2,86,63
Tomas,Nosek,26,player[12],L,11,11,1,0,111,74
Aaron,Ekblad,22,player[12],D,15,26,11,-4,216,76
Jake,Virtanen,22,player[12],R,13,14,3,-3,146,163
Haydn,Fleury,22,player[12],D,3,15,2,-1,117,109
Nikolaj,Ehlers,22,player[12],L,28,38,18,4,230,40
Nick,Ritchie,23,player[12],L,13,19,5,0,144,219
Kevin,Fiala,22,player[12],L,24,28,12,1,199,45
Brendan,Perlini,22,player[12],L,18,17,8,-7,155,88
Jakub,Vrana,22,player[12],L,16,19,6,3,156,44
Julius,Honka,23,player[12],D,4,14,2,-1,107,53
Sonny,Milano,22,player[12],L,16,16,5,0,127,51
Travis,Sanheim,22,player[12],D,5,19,4,1,134,57
Alex,Tuch,22,player[12],R,17,27,10,0,183,100
Tony,DeAngelo,23,player[12],D,5,22,9,-2,165,81
Kasperi,Kapanen,22,player[12],R,14,11,2,0,133,119
David,Pastrnak,22,player[12],R,33,45,25,2,257,53
Nikita,Scherbak,23,player[12],R,14,10,4,-1,129,64
Nikolay,Goldobin,23,player[12],R,15,12,3,-1,121,36
Joshua,Ho-Sang,22,player[12],R,11,24,7,0,96,21
Marcus,Pettersson,22,player[12],D,3,11,3,1,85,76
Brandon,Montour,24,player[12],D,8,24,9,1,173,96
Viktor,Arvidsson,25,player[12],L,29,32,13,0,250,34
Gustav,Forsling,22,player[12],D,6,17,6,-3,163,60
Oskar,Lindblom,22,player[12],L,11,16,5,2,133,99
Anton,Lindholm,24,player[12],D,1,8,0,-2,53,169
Anders,Bjork,22,player[12],L,11,20,7,1,104,58
Kevin,Labanc,23,player[12],R,16,29,13,3,159,40
Ondrej,Kase,23,player[12],R,21,25,8,3,180,45
Noah,Hanifin,21,player[12],D,11,30,12,0,173,83
Kyle,Connor,22,player[12],L,28,32,13,-1,213,23
Vince,Dunn,22,player[12],D,7,26,9,1,164,43
Travis,Dermott,22,player[12],D,4,26,6,5,136,105
Timo,Meier,22,player[12],R,21,21,7,1,214,108
Mikko,Rantanen,22,player[12],R,26,45,25,-4,196,32
Sebastian,Aho,21,player[12],R,28,40,19,0,228,62
Christian,Fischer,21,player[12],R,17,23,8,-5,169,109
Brandon,Carlo,22,player[12],D,6,12,2,4,97,100
Brock,Boeser,21,player[12],R,33,35,21,-5,253,35
Noah,Juulsen,21,player[12],D,4,13,2,-1,133,195
Zach,Werenski,21,player[12],D,16,35,15,7,229,60
Thomas,Chabot,21,player[12],D,9,24,8,-4,149,63
Jake,DeBrusk,22,player[12],L,19,33,12,3,180,78
Ivan,Provorov,21,player[12],D,13,31,9,1,211,133
Markus,Hannikainen,25,player[12],L,8,8,0,0,83,89
Evan,Rodrigues,25,player[12],L,14,23,8,-1,157,42
Artemi,Panarin,27,player[12],L,29,52,26,9,224,16
Markus,Nutivaara,24,player[12],D,7,19,5,5,122,64
Casey,Nelson,26,player[12],D,4,14,2,-2,111,78
Brandon,Tanev,27,player[12],L,8,11,1,3,104,226
Matthew,Tkachuk,21,player[12],L,27,39,19,2,221,85
Charlie,McAvoy,21,player[12],D,7,35,11,8,132,157
Alex,DeBrincat,21,player[12],R,25,31,13,1,199,42
Patrik,Laine,20,player[12],R,37,36,24,-1,259,67
Jesse,Puljujarvi,20,player[12],R,17,19,6,1,173,84
Jakob,Chychrun,20,player[12],D,8,20,6,-3,167,120
Victor,Mete,20,player[12],D,4,14,5,5,93,22
Samuel,Girard,20,player[12],D,6,25,9,-2,121,60
Jesper,Bratt,20,player[12],L,15,28,10,-3,135,53
Mikhail,Sergachev,20,player[12],D,9,35,14,3,169,92
Troy,Stecher,24,player[12],D,4,18,4,-4,128,121
Nikita,Zaitsev,27,player[12],D,3,19,3,-4,97,148
Drake,Caggiula,24,player[12],L,14,14,4,-4,136,162
Michal,Kempny,28,player[12],D,4,11,1,1,123,98
Alex,Iafallo,25,player[12],L,13,19,5,1,140,64
Jakub,Jerabek,27,player[12],D,2,14,1,0,87,99
Neal,Pionk,23,player[12],D,4,31,11,-6,170,132
Oscar,Fantenberg,27,player[12],D,3,16,6,0,111,126
Andreas,Borgman,23,player[12],D,3,14,2,1,100,192
Jan,Rutta,28,player[12],D,4,19,4,-1,113,44
Sebastian,Aho,22,player[12],D,4,11,3,-2,109,51
