Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
21.58,Curtis,Lazar,23,Calgary Flames,C,5,10,2,1,59,101
21.47,Oscar,Fantenberg,27,Los Angeles Kings,D,2,12,3,-5,89,111
21.38,Remi,Elie,23,Buffalo Sabres,L,6,11,1,0,63,92
21.34,Braydon,Coburn,33,Tampa Bay Lightning,D,4,12,0,1,103,92
21.02,Joe,Morrow,26,Winnipeg Jets,D,3,10,2,-1,109,91
20.87,Connor,Brickley,26,Nashville Predators,L,5,8,1,0,70,98
20.81,Oskar,Sundqvist,24,St. Louis Blues,C,8,7,0,-2,75,85
20.67,Pierre-Edouard,Bellemare,33,Vegas Golden Knights,L,8,8,0,3,97,62
20.64,Reid,Boucher,25,Vancouver Canucks,C,9,8,3,-1,96,39
20.64,Brandon,Carlo,22,Boston Bruins,D,4,10,1,3,87,103
20.61,Kevan,Miller,31,Boston Bruins,D,2,12,0,12,67,146
20.6,Christian,Folin,27,Philadelphia Flyers,D,1,10,0,9,70,165
20.5,Oscar,Lindberg,27,Vegas Golden Knights,C,8,7,0,0,81,77
20.49,Brendan,Smith,29,New York Rangers,D,3,12,0,-4,95,105
20.49,Danny,DeKeyser,28,Detroit Red Wings,D,5,13,0,1,78,91
20.45,Mark,Pysyk,26,Florida Panthers,D,4,13,0,0,88,94
20.35,Nick,Jensen,28,Detroit Red Wings,D,4,14,0,-3,99,78
20.21,Marko,Dano,24,Winnipeg Jets,C,6,7,1,0,69,90
20.16,Derek,Dorsett,32,Vancouver Canucks,R,7,4,0,-1,73,97
20.12,Jordie,Benn,31,Montreal Canadiens,D,3,11,0,2,88,113
19.95,Gemel,Smith,24,Dallas Stars,C,10,9,1,0,72,54
19.89,Trevor,van Riemsdyk,27,Carolina Hurricanes,D,6,14,1,3,103,37
19.85,Jan,Rutta,28,Chicago Blackhawks,D,5,16,2,-1,92,44
19.79,Michael,Stone,28,Calgary Flames,D,2,14,2,-1,84,99
19.68,Nate,Thompson,34,Los Angeles Kings,C,3,5,0,-1,54,128
19.59,Joshua,Ho-Sang,22,New York Islanders,R,8,17,5,0,67,14
19.51,Connor,Carrick,24,Dallas Stars,D,5,12,2,-3,90,61
19.37,Kris,Russell,31,Edmonton Oilers,D,3,15,0,3,82,94
19.31,Brian,Gibbons,30,Anaheim Ducks,C,7,12,1,-3,80,48
19.29,Fredrik,Claesson,26,New York Rangers,D,2,7,0,1,73,151
19.23,Jimmy,Hayes,29,Pittsburgh Penguins,R,6,6,1,-1,69,84
19.09,Marian,Gaborik,36,Ottawa Senators,R,10,7,3,-3,94,23
19.07,Andreas,Borgman,23,Toronto Maple Leafs,D,2,10,2,0,66,128
19.06,Nate,Schmidt,27,Vegas Golden Knights,D,3,18,5,6,82,42
18.81,Jake,Dotchin,24,Anaheim Ducks,D,2,12,1,3,72,118
18.53,Brendan,Gaunce,24,Vancouver Canucks,C,6,6,0,2,75,78
18.52,Patrik,Nemeth,26,Colorado Avalanche,D,3,12,0,4,82,100
18.46,Ron,Hainsey,37,Toronto Maple Leafs,D,3,16,0,14,71,92
18.34,Luke,Schenn,29,Anaheim Ducks,D,0,5,0,-9,60,190
18.34,Nikita,Scherbak,23,Los Angeles Kings,R,9,5,2,0,85,42
18.27,Connor,Murphy,25,Chicago Blackhawks,D,3,11,1,1,77,100
17.96,Marcus,Kruger,28,Chicago Blackhawks,C,7,6,0,0,67,73
17.94,Deryk,Engelland,36,Vegas Golden Knights,D,1,10,0,-1,90,122
17.79,Tom,Pyatt,31,Ottawa Senators,L,5,10,0,-11,86,53
17.79,Chad,Ruhwedel,28,Pittsburgh Penguins,D,2,8,0,-5,96,111
17.75,Tanner,Fritz,27,New York Islanders,C,4,6,0,-1,52,101
17.74,Jori,Lehtera,31,Philadelphia Flyers,C,6,10,0,-3,55,72
17.49,Cory,Conacher,29,Tampa Bay Lightning,C,8,7,1,0,73,48
17.48,Filip,Chlapik,21,Ottawa Senators,C,6,8,2,0,66,56
17.36,Xavier,Ouellet,25,Montreal Canadiens,D,2,11,0,-3,106,84
17.34,Jonny,Brodzinski,25,Los Angeles Kings,R,6,5,0,0,87,60
17.33,Mark,Letestu,33,Columbus Blue Jackets,C,6,8,3,-4,68,47
17.3,Carter,Rowney,29,Anaheim Ducks,R,5,4,0,0,36,111
17.2,Niklas,Kronwall,37,Detroit Red Wings,D,0,16,4,-1,71,91
17.19,Micheal,Haley,32,Florida Panthers,C,3,5,0,0,41,114
17.01,Gabriel,Dumont,28,Tampa Bay Lightning,C,3,2,0,0,57,110
16.9,Chandler,Stephenson,24,Washington Capitals,C,7,13,0,-6,61,42
16.86,Andy,Andreoff,27,Tampa Bay Lightning,C,5,4,0,0,55,91
16.55,Matt,Hendricks,37,Minnesota Wild,C,2,2,0,1,44,122
16.5,Alan,Quine,25,Calgary Flames,C,5,7,0,-2,52,79
16.41,Casey,Nelson,26,Buffalo Sabres,D,3,13,0,5,90,69
16.34,Boo,Nieves,24,New York Rangers,C,4,11,2,1,51,58
16.3,Marc,Staal,31,New York Rangers,D,3,10,0,-1,76,95
16.24,Brandon,Davidson,27,Chicago Blackhawks,D,3,7,0,-2,74,110
16.21,Michael,Amadio,22,Los Angeles Kings,C,8,7,2,-6,65,36
16.18,Josh,Jooris,28,Toronto Maple Leafs,R,5,6,0,0,66,68
16.01,Slater,Koekkoek,24,Tampa Bay Lightning,D,4,8,1,0,91,67
15.88,Nick,Baptiste,23,Nashville Predators,R,8,5,1,0,77,36
15.83,Haydn,Fleury,22,Carolina Hurricanes,D,2,10,1,1,86,87
15.61,Brooks,Orpik,38,Washington Capitals,D,1,5,0,0,42,170
15.51,Ben,Lovejoy,34,New Jersey Devils,D,1,7,0,9,92,112
15.5,Peter,Holland,27,New York Rangers,C,5,7,1,-4,78,42
15.46,Luke,Witkowski,28,Detroit Red Wings,R,2,4,0,1,33,113
15.42,Jordan,Nolan,29,St. Louis Blues,C,4,3,0,-2,42,97
15.32,Tim,Heed,27,San Jose Sharks,D,3,13,4,0,99,22
15.09,Robert,Bortuzzo,29,St. Louis Blues,D,3,6,0,0,67,111
14.86,Scott,Harrington,25,Columbus Blue Jackets,D,3,12,0,4,72,77
14.84,Derek,MacKenzie,37,Florida Panthers,C,2,3,0,0,47,99
14.78,Madison,Bowey,23,Washington Capitals,D,0,16,2,0,78,77
14.41,Byron,Froese,27,Montreal Canadiens,C,4,6,0,0,58,63
14.29,Joakim,Ryan,25,San Jose Sharks,D,2,13,1,4,94,52
14.23,Matt,Irwin,31,Nashville Predators,D,1,9,0,5,77,106
14.1,Jay,Beagle,33,Vancouver Canucks,C,5,8,0,0,48,55
14.07,John,Gilmour,25,New York Rangers,D,2,7,1,-1,116,56
14.0,Nick,Seeler,25,Minnesota Wild,D,1,11,1,4,84,81
13.96,Trevor,Daley,35,Detroit Red Wings,D,4,12,0,1,96,33
13.93,Matt,Cullen,42,Pittsburgh Penguins,C,6,6,0,-4,78,30
13.63,David,Schlemko,31,Montreal Canadiens,D,1,10,3,-3,84,68
13.55,Kevin,Roy,25,Anaheim Ducks,L,9,3,0,0,65,30
13.5,Karl,Alzner,30,Montreal Canadiens,D,2,9,0,2,61,102
13.35,Zack,Mitchell,25,Los Angeles Kings,R,5,2,0,0,52,66
13.29,Steven,Kampfer,30,Boston Bruins,D,0,4,1,-6,78,125
13.23,Paul,Carey,30,Ottawa Senators,C,4,4,0,-2,49,66
13.16,Chris,Thorburn,35,St. Louis Blues,R,2,1,0,0,27,106
13.09,Eric,Gryba,30,New Jersey Devils,D,0,5,0,1,54,149
12.8,Mirco,Mueller,23,New Jersey Devils,D,2,13,0,-3,70,69
12.54,Andrew,MacDonald,32,Philadelphia Flyers,D,2,15,0,0,79,49
12.51,Christian,Djoos,24,Washington Capitals,D,2,14,2,10,80,38
12.48,Julius,Honka,23,Dallas Stars,D,2,11,1,0,96,43
12.4,Seth,Griffith,25,Winnipeg Jets,C,4,7,1,0,49,41
12.32,Greg,McKegg,26,Carolina Hurricanes,C,5,4,0,0,49,51
12.2,Frederick,Gaudreau,25,Nashville Predators,C,5,6,0,-2,57,36
12.1,Marcus,Pettersson,22,Anaheim Ducks,D,1,14,1,4,69,65
12.03,Taylor,Leier,24,Philadelphia Flyers,L,5,6,0,0,66,27
11.85,Mark,Barberio,28,Colorado Avalanche,D,3,10,2,-4,74,43
11.69,Yannick,Weber,30,Nashville Predators,D,2,6,0,6,78,83
11.49,Jordan,Schroeder,28,Chicago Blackhawks,C,5,4,0,0,50,42
11.4,Andy,Greene,36,New Jersey Devils,D,0,9,0,-3,85,86
11.39,Dmitry,Kulikov,28,Winnipeg Jets,D,2,9,1,0,59,78
11.34,Luca,Sbisa,28,New York Islanders,D,0,10,1,-2,62,96
11.34,Ian,McCoshen,23,Florida Panthers,D,2,6,0,0,54,103
11.25,Danny,O'Regan,24,Buffalo Sabres,C,4,7,2,0,50,23
11.17,Andrej,Sekera,32,Edmonton Oilers,D,2,11,3,0,67,45
10.98,Jonathan,Ericsson,34,Detroit Red Wings,D,1,6,0,1,61,106
10.7,Jay,Bouwmeester,35,St. Louis Blues,D,1,9,0,-9,88,64
10.59,Adam,McQuaid,32,New York Rangers,D,0,6,0,0,49,127
10.37,Victor,Mete,20,Montreal Canadiens,D,2,14,2,8,82,17
10.18,Dominic,Toninato,24,Colorado Avalanche,C,4,4,0,0,39,44
9.62,Anthony,Bitetto,28,Nashville Predators,D,0,9,0,1,53,101
9.32,Ben,Harpur,23,Ottawa Senators,D,1,4,0,3,55,106
9.26,Christopher,Tanev,29,Vancouver Canucks,D,2,12,0,-8,69,43
9.1,Sebastian,Aho,22,New York Islanders,D,2,9,2,-1,75,35
9.03,Marc,Methot,33,Dallas Stars,D,0,4,0,0,44,127
8.93,Kurtis,MacDermid,24,Los Angeles Kings,D,0,6,0,-1,43,118
8.79,Brett,Kulak,24,Montreal Canadiens,D,2,8,0,3,74,52
8.65,Jon,Merrill,26,Vegas Golden Knights,D,1,7,0,0,68,74
8.23,Niklas,Hjalmarsson,31,Arizona Coyotes,D,2,11,0,9,61,46
8.23,Jakub,Jerabek,27,St. Louis Blues,D,1,9,0,-3,61,68
7.89,Matt,Hunwick,33,Buffalo Sabres,D,1,7,0,-2,62,73
7.76,Ryan,Murphy,25,Minnesota Wild,D,2,9,2,0,73,25
7.22,Dan,Hamhuis,36,Nashville Predators,D,0,12,0,2,53,66
7.11,Anton,Lindholm,24,Colorado Avalanche,D,0,5,0,-1,36,113
6.13,Andrej,Sustr,28,Anaheim Ducks,D,3,8,0,0,63,26
5.28,Tucker,Poolman,25,Winnipeg Jets,D,1,5,0,1,68,53
4.23,Gustav,Olofsson,24,Montreal Canadiens,D,1,10,1,1,42,39
4.04,Rob,O'Gara,25,New York Rangers,D,0,5,0,0,45,77
4.03,Carl,Gunnarsson,32,St. Louis Blues,D,2,4,0,4,55,46
0.0,Tomas,Plekanec,36,N/A,C,1,0,0,0,8,1
0.0,Nate,Prosser,32,Minnesota Wild,D,0,4,0,0,30,60
