First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Jujhar,Khaira,24,L,1,8476915,10,15,2,0,103,146
Adam,Pelech,24,D,0,8476917,4,18,3,-1,116,110
Jimmy,Vesey,25,L,1,8476918,16,14,4,-10,142,85
Chris,Tierney,24,C,1,8476919,16,23,7,-2,127,39
Jordan,Martinook,26,L,1,8476921,11,14,1,-2,109,114
Boo,Nieves,24,C,1,8476922,7,16,4,2,75,89
Damon,Severson,24,D,0,8476923,8,25,7,-3,142,107
Martin,Frk,25,R,1,8476924,13,18,6,-2,126,93
Colton,Sissons,25,C,1,8476925,12,15,4,2,110,132
Jake,McCabe,25,D,0,8476931,5,16,3,-1,96,149
Brock,McGinn,24,L,1,8476934,16,19,5,0,153,132
Connor,Carrick,24,D,0,8476941,6,13,4,2,117,85
Charles,Hudon,24,L,1,8476948,14,26,9,-3,193,136
Dominic,Toninato,24,C,1,8476952,7,7,0,1,56,67
Taylor,Leier,24,L,1,8476955,9,11,1,0,92,40
Jaccob,Slavin,24,D,0,8476958,11,28,8,5,151,54
Andreas,Athanasiou,24,C,1,8476960,20,19,6,-5,182,38
Gemel,Smith,24,C,1,8476966,10,13,1,2,93,65
Brett,Kulak,24,D,0,8476967,4,12,1,3,96,64
Kevin,Roy,25,L,1,8476971,13,3,0,-1,108,47
Cedric,Paquette,25,C,1,8476975,10,10,1,0,94,164
Erik,Gustafsson,26,D,0,8476979,7,25,8,4,163,72
Josh,Anderson,24,R,1,8476981,23,19,7,4,207,137
Danny,O'Regan,24,C,1,8476982,8,10,3,0,71,35
Matt,Benning,24,D,0,8476988,6,19,4,1,131,156
Vinnie,Hinostroza,24,C,1,8476994,13,23,8,1,142,51
Jake,Dotchin,24,D,0,8477009,3,18,3,4,107,158
Connor,Brown,24,R,1,8477015,16,18,5,-1,133,36
Ben,Hutton,25,D,0,8477018,5,18,4,-8,136,62
Alexander,Kerfoot,24,C,1,8477021,13,26,9,-2,115,47
Christian,Djoos,24,D,0,8477043,4,15,3,5,96,43
Joakim,Ryan,25,D,0,8477046,5,16,2,4,114,56
Kurtis,MacDermid,24,D,0,8477073,1,10,0,-2,66,177
Andrej,Sustr,28,D,0,8477205,5,13,1,-1,89,37
Tim,Schaller,28,C,1,8477213,12,14,1,3,124,124
Danny,DeKeyser,28,D,0,8477215,5,11,0,-1,93,100
Nate,Schmidt,27,D,0,8477220,6,25,8,4,116,58
Carter,Rowney,29,R,1,8477240,4,7,0,0,47,141
Chad,Ruhwedel,28,D,0,8477244,3,12,1,3,119,121
Michael,Raffl,30,L,1,8477290,12,12,1,0,107,105
John,Gilmour,25,D,0,8477337,5,11,2,-2,178,86
MacKenzie,Weegar,24,D,0,8477346,3,13,1,4,93,145
Tyler,Motte,23,C,1,8477353,11,8,1,0,119,149
Will,Butcher,23,D,0,8477355,6,41,16,7,115,28
Tucker,Poolman,25,D,0,8477359,3,8,0,2,102,79
Jonny,Brodzinski,25,R,1,8477380,11,7,1,-1,130,90
John,Hayden,23,R,1,8477401,9,17,3,0,111,195
Pavel,Buchnevich,23,R,1,8477402,17,31,13,-3,156,56
Jake,Guentzel,24,C,1,8477404,22,33,12,3,179,126
Mattias,Janmark,26,C,1,8477406,18,19,5,-2,141,25
Anthony,Duclair,23,L,1,8477407,17,20,7,0,141,63
Sven,Andrighetto,25,R,1,8477413,16,23,10,-4,164,71
Oliver,Bjorkstrand,23,R,1,8477416,16,30,10,3,168,64
Miles,Wood,23,L,1,8477425,19,19,6,-2,180,84
Andrew,Copp,24,C,1,8477429,12,17,3,7,101,101
Ben,Harpur,23,D,0,8477433,2,8,0,-2,66,141
Andre,Burakovsky,23,L,1,8477444,17,24,8,1,143,58
Shea,Theodore,23,D,0,8477447,9,28,11,-2,191,46
Marko,Dano,24,C,1,8477448,10,12,1,1,98,109
Jason,Dickinson,23,C,1,8477450,9,9,0,0,57,130
Ryan,Hartman,24,R,1,8477451,16,21,6,0,150,115
Ian,McCoshen,23,D,0,8477452,2,9,0,0,82,149
Adam,Erne,23,L,1,8477454,11,7,1,0,118,144
Jacob,de la Rose,23,L,1,8477455,8,12,2,-1,87,177
J.T.,Compher,23,L,1,8477456,16,17,6,-5,157,61
Remi,Elie,23,L,1,8477461,10,15,2,1,90,116
Robert,Hagg,23,D,0,8477462,3,9,0,-3,119,256
Steven,Santini,23,D,0,8477463,4,14,2,-3,134,224
Gustav,Olofsson,24,D,0,8477467,3,15,3,2,60,59
Madison,Bowey,23,D,0,8477474,3,20,3,-3,91,83
Artturi,Lehkonen,23,L,1,8477476,19,17,6,0,194,88
William,Carrier,24,L,1,8477478,8,9,0,1,107,228
Tyler,Bertuzzi,23,L,1,8477479,13,23,7,-1,145,91
Brett,Pesce,24,D,0,8477488,8,21,5,1,122,74
Nick,Baptiste,23,R,1,8477491,12,7,1,-1,116,54
Nathan,MacKinnon,23,C,1,8477492,36,53,31,-4,307,39
Aleksander,Barkov,23,C,1,8477493,30,49,23,5,253,31
Jonathan,Drouin,23,C,1,8477494,18,36,19,-4,182,58
Seth,Jones,24,D,0,8477495,17,41,21,6,238,88
Elias,Lindholm,24,C,1,8477496,18,35,14,-1,168,96
Sean,Monahan,24,C,1,8477497,30,39,22,-1,227,37
Darnell,Nurse,23,D,0,8477498,8,20,4,3,187,158
Rasmus,Ristolainen,24,D,0,8477499,8,38,21,-8,208,195
Bo,Horvat,23,C,1,8477500,24,30,16,-6,199,51
Max,Domi,23,L,1,8477503,15,35,13,-6,157,48
Josh,Morrissey,23,D,0,8477504,7,20,4,6,123,136
Alexander,Wennberg,24,C,1,8477505,13,37,14,9,114,40
Ryan,Pulock,24,D,0,8477506,10,25,10,-5,214,125
Nikita,Zadorov,23,D,0,8477507,4,18,3,-5,117,258
Curtis,Lazar,23,C,1,8477508,9,16,2,2,85,152
Mirco,Mueller,23,D,0,8477509,4,11,1,1,72,56
Anthony,Mantha,24,R,1,8477511,23,28,12,1,197,84
Ross,Johnston,24,L,1,8477527,7,5,0,-1,83,154
Josh,Jooris,28,R,1,8477591,9,10,0,0,98,103
Conor,Sheary,26,L,1,8477839,20,21,6,3,154,37
Trevor,van Riemsdyk,27,D,0,8477845,6,15,3,10,112,43
Ryan,Carpenter,27,C,1,8477846,13,10,1,-1,133,117
Christian,Folin,27,D,0,8477850,2,13,1,3,80,184
Jordan,Oesterle,26,D,0,8477851,6,18,4,0,148,93
Daniel,Carr,27,L,1,8477901,12,15,5,0,120,69
Garnet,Hathaway,27,R,1,8477903,7,13,2,3,87,199
Frederick,Gaudreau,25,C,1,8477919,7,8,1,0,59,46
Melker,Karlsson,28,C,1,8477922,11,12,0,-3,95,95
Pierre-Edouard,Bellemare,33,L,1,8477930,8,8,0,2,86,63
Tomas,Nosek,26,L,1,8477931,11,11,1,0,111,74
Aaron,Ekblad,22,D,0,8477932,15,26,11,-4,216,76
Sam,Reinhart,23,C,1,8477933,25,32,18,-3,195,46
Leon,Draisaitl,23,C,1,8477934,27,47,20,3,205,38
Sam,Bennett,22,C,1,8477935,17,21,7,-3,154,130
Jake,Virtanen,22,R,1,8477937,13,14,3,-3,146,163
Haydn,Fleury,22,D,0,8477938,3,15,2,-1,117,109
Nikolaj,Ehlers,22,L,1,8477940,28,38,18,4,230,40
Nick,Ritchie,23,L,1,8477941,13,19,5,0,144,219
Kevin,Fiala,22,L,1,8477942,24,28,12,1,199,45
Brendan,Perlini,22,L,1,8477943,18,17,8,-7,155,88
Jakub,Vrana,22,L,1,8477944,16,19,6,3,156,44
Julius,Honka,23,D,0,8477945,4,14,2,-1,107,53
Dylan,Larkin,22,C,1,8477946,22,36,14,-2,227,72
Sonny,Milano,22,L,1,8477947,16,16,5,0,127,51
Travis,Sanheim,22,D,0,8477948,5,19,4,1,134,57
Alex,Tuch,22,R,1,8477949,17,27,10,0,183,100
Tony,DeAngelo,23,D,0,8477950,5,22,9,-2,165,81
Nick,Schmaltz,22,C,1,8477951,18,35,13,1,144,23
Kasperi,Kapanen,22,R,1,8477953,14,11,2,0,133,119
Jared,McCann,22,C,1,8477955,15,21,6,0,164,61
David,Pastrnak,22,R,1,8477956,33,45,25,2,257,53
Nikita,Scherbak,23,R,1,8477957,14,10,4,-1,129,64
Nikolay,Goldobin,23,R,1,8477958,15,12,3,-1,121,36
Joshua,Ho-Sang,22,R,1,8477959,11,24,7,0,96,21
Adrian,Kempe,22,C,1,8477960,15,24,7,-4,137,90
Ivan,Barbashev,23,C,1,8477964,10,15,1,2,88,106
Marcus,Pettersson,22,D,0,8477969,3,11,3,1,85,76
Brandon,Montour,24,D,0,8477986,8,24,9,1,173,96
Christian,Dvorak,22,C,1,8477989,17,24,8,-4,154,92
Brayden,Point,22,C,1,8478010,29,37,16,0,217,31
Michael,Amadio,22,C,1,8478020,9,13,3,1,84,52
Viktor,Arvidsson,25,L,1,8478042,29,32,13,0,250,34
Danton,Heinen,23,C,1,8478046,17,34,12,5,155,51
Gustav,Forsling,22,D,0,8478055,6,17,6,-3,163,60
Oskar,Lindblom,22,L,1,8478067,11,16,5,2,133,99
Anton,Lindholm,24,D,0,8478073,1,8,0,-2,53,169
Anders,Bjork,22,L,1,8478075,11,20,7,1,104,58
Kevin,Labanc,23,R,1,8478099,16,29,13,3,159,40
Ondrej,Kase,23,R,1,8478131,21,25,8,3,180,45
Frank,Vatrano,24,C,1,8478366,16,13,3,1,166,103
Noah,Hanifin,21,D,0,8478396,11,30,12,0,173,83
Kyle,Connor,22,L,1,8478398,28,32,13,-1,213,23
Colin,White,21,C,1,8478400,11,11,3,-1,107,56
Pavel,Zacha,21,C,1,8478401,14,24,8,1,136,82
Connor,McDavid,21,C,1,8478402,38,70,31,7,281,17
Jack,Eichel,22,C,1,8478403,30,45,26,-10,296,53
Vince,Dunn,22,D,0,8478407,7,26,9,1,164,43
Travis,Dermott,22,D,0,8478408,4,26,6,5,136,105
Timo,Meier,22,R,1,8478414,21,21,7,1,214,108
Mikko,Rantanen,22,R,1,8478420,26,45,25,-4,196,32
Sebastian,Aho,21,R,1,8478427,28,40,19,0,228,62
Christian,Fischer,21,R,1,8478432,17,23,8,-5,169,109
Travis,Konecny,21,C,1,8478439,22,27,9,0,190,95
Dylan,Strome,21,C,1,8478440,14,17,6,-2,133,39
Brandon,Carlo,22,D,0,8478443,6,12,2,4,97,100
Brock,Boeser,21,R,1,8478444,33,35,21,-5,253,35
Mathew,Barzal,21,C,1,8478445,22,63,25,1,193,17
Noah,Juulsen,21,D,0,8478454,4,13,2,-1,133,195
Jack,Roslovic,21,C,1,8478458,13,20,6,0,123,57
Zach,Werenski,21,D,0,8478460,16,35,15,7,229,60
Anthony,Beauvillier,21,C,1,8478463,20,22,9,-1,167,92
Thomas,Chabot,21,D,0,8478469,9,24,8,-4,149,63
Mitchell,Marner,21,C,1,8478483,23,49,24,0,209,31
Filip,Chlapik,21,C,1,8478488,9,15,4,1,97,85
Joel,Eriksson Ek,21,C,1,8478493,12,17,3,2,136,140
Jake,DeBrusk,22,L,1,8478498,19,33,12,3,180,78
Ivan,Provorov,21,D,0,8478500,13,31,9,1,211,133
Markus,Hannikainen,25,L,1,8478541,8,8,0,0,83,89
Evan,Rodrigues,25,L,1,8478542,14,23,8,-1,157,42
Artemi,Panarin,27,L,1,8478550,29,52,26,9,224,16
Noel,Acciari,27,C,1,8478569,8,7,0,2,94,197
Derek,Ryan,32,C,1,8478585,14,22,7,1,119,56
Denis,Malgin,21,C,1,8478843,16,19,8,1,145,79
Dominik,Simon,24,C,1,8478866,10,20,4,3,102,91
Markus,Nutivaara,24,D,0,8478906,7,19,5,5,122,64
Tanner,Fritz,27,C,1,8479206,6,9,0,-1,72,139
Casey,Nelson,26,D,0,8479268,4,14,2,-2,111,78
Brandon,Tanev,27,L,1,8479293,8,11,1,3,104,226
Matthew,Tkachuk,21,L,1,8479314,27,39,19,2,221,85
Auston,Matthews,21,C,1,8479318,38,38,21,-2,275,19
Charlie,McAvoy,21,D,0,8479325,7,35,11,8,132,157
Alex,DeBrincat,21,R,1,8479337,25,31,13,1,199,42
Patrik,Laine,20,R,1,8479339,37,36,24,-1,259,67
Clayton,Keller,20,C,1,8479343,24,46,18,-7,223,10
Jesse,Puljujarvi,20,R,1,8479344,17,19,6,1,173,84
Jakob,Chychrun,20,D,0,8479345,8,20,6,-3,167,120
Tyson,Jost,20,C,1,8479370,17,17,7,-4,157,51
Victor,Mete,20,D,0,8479376,4,14,5,5,93,22
Samuel,Girard,20,D,0,8479398,6,25,9,-2,121,60
Pierre-Luc,Dubois,20,C,1,8479400,21,36,15,5,183,116
Jesper,Bratt,20,L,1,8479407,15,28,10,-3,135,53
Mikhail,Sergachev,20,D,0,8479410,9,35,14,3,169,92
Tage,Thompson,21,C,1,8479420,11,17,4,-1,119,84
Troy,Stecher,24,D,0,8479442,4,18,4,-4,128,121
Nikita,Zaitsev,27,D,0,8479458,3,19,3,-4,97,148
Drake,Caggiula,24,L,1,8479465,14,14,4,-4,136,162
Michal,Kempny,28,D,0,8479482,4,11,1,1,123,98
Maxim,Mamin,23,C,1,8479553,10,8,0,2,100,156
Nolan,Patrick,20,C,1,8479974,17,24,8,0,158,59
Nico,Hischier,19,C,1,8480002,21,35,12,-1,198,55
Alex,Iafallo,25,L,1,8480113,13,19,5,1,140,64
Jakub,Jerabek,27,D,0,8480143,2,14,1,0,87,99
David,Kampf,23,C,1,8480144,10,16,2,2,94,62
Neal,Pionk,23,D,0,8480145,4,31,11,-6,170,132
Oscar,Fantenberg,27,D,0,8480147,3,16,6,0,111,126
Andreas,Borgman,23,D,0,8480158,3,14,2,1,100,192
Jan,Rutta,28,D,0,8480172,4,19,4,-1,113,44
Sebastian,Aho,22,D,0,8480222,4,11,3,-2,109,51
