First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Andy,Greene,36,D,0,8472382,2,6,0,-5,75,89
Bryan,Little,31,C,1,8473412,16,29,11,-1,137,51
Alex,Biega,30,D,0,8473415,1,12,0,0,122,214
Brad,Marchand,30,L,1,8473419,35,47,27,6,236,39
Nick,Foligno,31,L,1,8473422,16,23,9,1,153,178
Derek,Dorsett,32,R,1,8473432,10,8,1,-2,119,151
Erik,Johnson,30,D,0,8473446,8,20,5,-3,201,141
Kyle,Okposo,30,R,1,8473449,18,32,18,-11,173,71
Trevor,Lewis,31,C,1,8473453,15,13,3,-2,149,148
Leo,Komarov,31,C,1,8473463,10,13,3,-4,114,225
Jamie,McGinn,30,L,1,8473465,13,14,5,-5,126,127
Eric,Gryba,30,D,0,8473468,1,8,0,3,76,213
Milan,Lucic,30,L,1,8473473,15,25,10,4,136,219
Cal,Clutterbuck,31,R,1,8473504,8,7,0,-6,98,230
Jeff,Petry,31,D,0,8473507,10,26,13,-4,171,154
Claude,Giroux,30,C,1,8473512,26,57,32,1,212,34
Jordan,Staal,30,C,1,8473533,19,30,12,2,160,163
Patrik,Berglund,30,C,1,8473534,20,13,6,-1,155,144
Derick,Brassard,31,C,1,8473544,22,26,11,-1,199,99
Michael,Grabner,31,R,1,8473546,20,12,1,0,158,68
Phil,Kessel,31,R,1,8473548,28,48,31,-2,250,10
Nicklas,Backstrom,31,C,1,8473563,20,50,26,3,161,34
Michael,Frolik,30,R,1,8473564,17,22,5,4,177,60
Artem,Anisimov,30,C,1,8473573,19,19,9,-1,141,28
Andrew,MacDonald,32,D,0,8473584,3,16,0,-1,94,54
Jonathan,Toews,30,C,1,8473604,22,36,16,2,210,41
Mathieu,Perreault,30,C,1,8473618,17,31,15,2,157,122
David,Schlemko,31,D,0,8473673,3,12,3,-1,99,75
Mark,Letestu,33,C,1,8473914,10,14,5,-6,99,70
Ben,Lovejoy,34,D,0,8473933,2,6,0,4,90,124
Alex,Killorn,29,L,1,8473986,17,26,11,6,155,82
Karl,Alzner,30,D,0,8473991,3,12,0,0,80,135
