Is Active,First Name,Last Name,Team,Age,Position,PosVal,ID,GP,G,G/GP,A,A/GP,P,P/GP,+/-,PPP,PPP/GP,SHP,SOG,SOG/GP,H,H/GP,BLK,BLK/GP,SHF/GP,SH%,SAF,SAA,SAD,SADB,SADA,SADC,SADT,RSA%,USAF,USAA,USAD,USADB,USADA,USADC,USADT,RUSA%,SA%,ZS%,SH+SV%,ESSH%
0,Jaromir,Jagr,,45,R,1,8448208,238,60,0.2521,99,0.4159,159,0.668,22,35,0.1471,0,493,2.0714,82,0.3445,34,0.1428,21.0672,0.1217,3000,2686,314,196,24,216,94,0.0464,2325,2116,209,85,70,141,54,0.0449,0.5276,0.5183,1.0172,0.094
1,Matt,Cullen,,41,C,1,8464989,216,36,0.1666,52,0.2407,88,0.4074,17,8,0.037,8,301,1.3935,86,0.3981,86,0.3981,20.5787,0.1196,2117,2098,19,59,-58,-1,18,-0.0254,1606,1522,84,35,3,37,46,-0.0167,0.5023,0.4215,1.0018,0.0775
1,Zdeno,Chara,,40,D,0,8465009,218,27,0.1238,59,0.2706,86,0.3944,30,18,0.0826,7,432,1.9816,389,1.7844,362,1.6605,28.0229,0.0625,3819,3537,282,217,-45,167,110,-0.0017,2853,2688,165,107,42,70,16,-0.0086,0.5192,0.4378,0.9962,0.0756
1,Joe,Thornton,,38,C,1,8466138,239,42,0.1757,155,0.6485,197,0.8242,28,70,0.2929,0,333,1.3933,139,0.5815,87,0.364,24.1213,0.1261,3511,2758,753,333,129,540,291,0.0642,2565,1948,617,217,164,433,236,0.0672,0.5601,0.5308,1.0057,0.0842
1,Patrick,Marleau,,38,C,1,8466139,246,71,0.2886,80,0.3252,151,0.6138,-35,65,0.2642,1,639,2.5975,231,0.939,96,0.3902,24.2845,0.1111,3252,3170,82,103,-94,96,73,-0.0101,2378,2267,111,39,0,94,72,-0.0109,0.5064,0.4849,0.9928,0.0734
0,Jason,Chimera,,38,L,1,8466251,241,47,0.195,45,0.1867,92,0.3817,0,9,0.0373,3,382,1.585,384,1.5933,61,0.2531,18.8838,0.123,2343,2669,-326,-30,-195,-221,-101,-0.0429,1735,1953,-218,-56,-80,-150,-82,-0.0422,0.4675,0.4741,1.0038,0.0813
0,Francois,Beauchemin,,37,D,0,8467400,227,24,0.1057,51,0.2246,75,0.3303,-4,17,0.0749,3,369,1.6255,256,1.1277,519,2.2863,27.4889,0.065,3490,3947,-457,-44,-315,-248,-98,-0.0127,2636,2842,-206,-75,-113,-75,-18,0.0017,0.4693,0.4589,0.9998,0.0734
0,Brian,Gionta,,38,R,1,8467407,230,40,0.1739,63,0.2739,103,0.4478,-29,22,0.0957,3,471,2.0478,161,0.7,97,0.4217,21.7,0.0849,2516,3179,-663,-152,-261,-404,-250,-0.0024,1897,2368,-471,-163,-143,-296,-165,-0.0042,0.4418,0.4142,0.9984,0.0683
0,Daniel,Sedin,,37,L,1,8467875,246,63,0.256,118,0.4796,181,0.7357,-4,58,0.2358,1,700,2.8455,61,0.2479,53,0.2154,23.5365,0.09,2961,2893,68,174,-98,53,-8,0.0326,2212,2227,-15,63,-53,-22,-25,0.0272,0.5058,0.5765,1.0032,0.0767
0,Henrik,Sedin,,37,C,1,8467876,238,44,0.1848,134,0.563,178,0.7478,-16,60,0.2521,1,299,1.2563,49,0.2058,54,0.2268,23.5798,0.1471,2932,2825,107,190,-94,92,11,0.0365,2186,2157,29,79,-47,23,-3,0.0332,0.5093,0.5757,0.9955,0.0753
1,Derek,MacKenzie,,36,C,1,8468001,228,17,0.0745,23,0.1008,40,0.1754,-17,1,0.0044,6,242,1.0614,619,2.7149,134,0.5877,18.7675,0.0702,1646,1951,-305,-4,-185,-205,-116,-0.054,1266,1476,-210,1,-138,-156,-73,-0.0477,0.4576,0.4427,0.9804,0.0471
1,Henrik,Zetterberg,,37,C,1,8468083,241,47,0.195,137,0.5684,184,0.7634,-6,63,0.2614,0,636,2.639,167,0.6929,82,0.3402,24.0995,0.0738,3151,2922,229,176,-21,140,74,0.0127,2397,2287,110,56,23,55,31,0.0155,0.5189,0.567,1.0082,0.0819
0,Radim,Vrbata,,36,R,1,8468085,223,64,0.2869,81,0.3632,145,0.6502,-42,47,0.2108,0,699,3.1345,107,0.4798,68,0.3049,21.6412,0.0915,2525,2716,-191,56,-142,-110,-105,0.0121,1905,2070,-165,-17,-76,-102,-72,0.0101,0.4818,0.4756,0.9877,0.0704
0,Joel,Ward,,37,R,1,8468208,239,50,0.2092,56,0.2343,106,0.4435,-21,26,0.1088,4,381,1.5941,182,0.7615,147,0.615,22.5815,0.1312,2839,2715,124,206,-131,100,49,-0.0051,2044,1910,134,126,-37,86,45,-0.0071,0.5112,0.4769,0.9912,0.0705
1,Marian,Gaborik,,35,R,1,8468483,179,49,0.2737,41,0.229,90,0.5027,-3,27,0.1508,0,439,2.4525,89,0.4972,38,0.2122,19.5474,0.1116,2431,1778,653,276,124,402,253,0.0255,1850,1323,527,192,148,326,187,0.0377,0.5776,0.548,0.9831,0.0689
