Is Active,First Name,Last Name,Team,Age,Position,PosVal,ID,GP,G,G/GP,A,A/GP,P,P/GP,+/-,PPP,PPP/GP,SHP,SOG,SOG/GP,H,H/GP,BLK,BLK/GP,SHF/GP,SH%,SAF,SAA,SAD,SADB,SADA,SADC,SADT,RSA%,USAF,USAA,USAD,USADB,USADA,USADC,USADT,RUSA%,SA%,ZS%,SH+SV%,ESSH%
0,Scott,Hartnell,,35,L,1,8468486,234,64,0.2735,82,0.3504,146,0.6239,4,31,0.1325,0,458,1.9572,385,1.6452,119,0.5085,20.1752,0.1397,2731,2618,113,178,-103,39,38,0.0328,2041,1958,83,107,-55,14,31,0.0307,0.5106,0.5018,1.0046,0.093
1,Ron,Hainsey,,36,D,0,8468493,234,11,0.047,35,0.1495,46,0.1965,-35,1,0.0043,3,285,1.2179,288,1.2307,366,1.5641,27.3803,0.0385,3894,3728,166,295,-171,102,42,-0.0094,2899,2809,90,197,-113,66,6,-0.006,0.5109,0.5191,0.9769,0.0651
1,Brooks,Orpik,,37,D,0,8468498,198,3,0.0151,40,0.202,43,0.2171,48,0,0.0,0,190,0.9595,612,3.0909,426,2.1515,24.8383,0.0157,3118,2964,154,114,-76,148,116,-0.0075,2279,2143,136,60,-11,135,87,-0.0045,0.5127,0.5245,1.0127,0.0911
1,Justin,Williams,,36,R,1,8468508,243,64,0.2633,77,0.3168,141,0.5802,37,32,0.1317,1,542,2.2304,89,0.3662,108,0.4444,19.753,0.118,3211,2649,562,302,106,227,154,0.0287,2408,2012,396,179,124,152,93,0.0274,0.548,0.5625,1.0099,0.0897
1,Niklas,Kronwall,,36,D,0,8468509,201,14,0.0696,69,0.3432,83,0.4129,-32,43,0.2139,0,229,1.1393,261,1.2985,268,1.3333,29.3184,0.0611,2691,2741,-50,71,-82,-21,-39,-0.0282,2029,2164,-135,-7,-60,-81,-68,-0.029,0.4954,0.5369,0.9899,0.0647
0,Antoine,Vermette,,35,C,1,8468535,230,39,0.1695,65,0.2826,104,0.4521,-46,41,0.1783,1,320,1.3913,186,0.8086,152,0.6608,23.8695,0.1218,2584,2836,-252,69,-165,-224,-156,-0.015,1936,2124,-188,-1,-87,-161,-100,-0.0108,0.4768,0.4905,0.9847,0.0718
0,Dominic,Moore,,37,C,1,8468575,244,27,0.1106,40,0.1639,67,0.2745,5,1,0.0041,6,306,1.254,169,0.6926,122,0.5,19.709,0.0882,2086,2462,-376,-9,-258,-242,-109,-0.0599,1559,1843,-284,-18,-184,-171,-82,-0.0653,0.4587,0.3033,0.999,0.0674
1,Matt,Hendricks,,36,C,1,8468611,181,17,0.0939,18,0.0994,35,0.1933,-15,1,0.0055,3,207,1.1436,474,2.6187,179,0.9889,18.7624,0.0821,1480,1791,-311,-26,-174,-177,-111,-0.0457,1072,1233,-161,-14,-105,-69,-42,-0.0277,0.4525,0.3302,0.9811,0.0524
1,Deryk,Engelland,,35,D,0,8468674,226,9,0.0398,30,0.1327,39,0.1725,-7,0,0.0,2,229,1.0132,372,1.646,382,1.6902,22.0929,0.0393,2509,3169,-660,-133,-357,-374,-170,-0.0486,1868,2266,-398,-102,-215,-210,-81,-0.0398,0.4419,0.4359,0.9953,0.0752
1,Jason,Spezza,,34,C,1,8469455,225,65,0.2888,110,0.4888,175,0.7777,-21,69,0.3067,1,555,2.4666,38,0.1688,77,0.3422,22.3111,0.1171,3073,2691,382,249,-24,254,157,0.02,2251,1974,277,152,19,178,106,0.0162,0.5331,0.552,0.9992,0.084
1,Mikko,Koivu,,34,C,1,8469459,242,49,0.2024,113,0.4669,162,0.6694,35,55,0.2273,4,459,1.8966,110,0.4545,163,0.6735,24.5,0.1067,3087,2859,228,311,-178,256,95,0.034,2340,2108,232,204,-36,233,64,0.0329,0.5192,0.4924,1.0136,0.09
1,Dan,Hamhuis,,35,D,0,8469465,196,5,0.0255,47,0.2397,52,0.2653,-9,7,0.0357,2,237,1.2091,239,1.2193,243,1.2397,27.2551,0.021,2959,2830,129,186,-95,119,38,0.025,2188,2130,58,66,-25,59,17,0.0174,0.5111,0.4925,0.9876,0.073
0,Michael,Cammalleri,,35,L,1,8469500,171,51,0.2982,60,0.3508,111,0.6491,8,31,0.1813,2,399,2.3333,89,0.5204,44,0.2573,22.7719,0.1278,1819,2035,-216,3,-104,-149,-115,0.0016,1370,1589,-219,-42,-86,-139,-91,-0.0127,0.472,0.5158,1.0289,0.0939
1,Chris,Thorburn,,34,R,1,8469501,227,16,0.0704,14,0.0616,30,0.1321,-13,0,0.0,2,173,0.7621,362,1.5947,86,0.3788,13.5374,0.0924,1427,1644,-217,-51,-138,-130,-28,-0.0539,1025,1194,-169,-70,-68,-107,-31,-0.0546,0.4647,0.4981,0.9872,0.0654
1,Jason,Pominville,,35,R,1,8469506,235,42,0.1787,95,0.4042,137,0.5829,21,31,0.1319,0,615,2.617,119,0.5063,101,0.4297,20.7872,0.0682,3157,2774,383,171,24,255,188,0.0537,2396,2062,334,74,117,198,143,0.0497,0.5323,0.5844,1.0019,0.0783
1,Tomas,Plekanec,,35,C,1,8469521,242,50,0.2066,92,0.3801,142,0.5867,22,36,0.1488,6,576,2.3801,164,0.6776,146,0.6033,26.2561,0.0868,3216,3024,192,166,-51,132,77,0.0086,2305,2214,91,42,-2,79,51,0.0014,0.5154,0.4426,1.0081,0.075
0,Patrick,Sharp,,36,L,1,8469544,192,44,0.2291,72,0.375,116,0.6041,-33,39,0.2031,1,602,3.1354,174,0.9062,63,0.3281,22.052,0.073,2720,2330,390,204,5,322,181,0.0192,1985,1759,226,93,20,196,113,0.013,0.5386,0.5618,0.9727,0.0712
0,Kevin,Bieksa,,36,D,0,8469598,212,11,0.0518,32,0.1509,43,0.2028,-7,10,0.0472,1,302,1.4245,434,2.0471,301,1.4198,24.4905,0.0364,3129,3364,-235,33,-233,-19,-35,-0.0373,2363,2459,-96,-5,-93,11,2,-0.0354,0.4819,0.4985,0.9921,0.0723
0,Dennis,Seidenberg,,36,D,0,8469619,216,9,0.0416,39,0.1805,48,0.2222,23,1,0.0046,0,258,1.1944,493,2.2824,412,1.9074,25.1064,0.0348,3307,3624,-317,31,-284,-145,-64,-0.0304,2456,2668,-212,-45,-131,-84,-36,-0.0234,0.4771,0.4716,1.0083,0.0842
0,Jussi,Jokinen,,34,L,1,8469638,231,37,0.1601,95,0.4112,132,0.5714,8,31,0.1342,3,405,1.7532,123,0.5324,133,0.5757,22.9826,0.0913,2670,2415,255,275,-29,115,9,0.0326,2043,1854,189,181,19,68,-11,0.033,0.5251,0.4942,0.9971,0.0784
0,Johnny,Oduya,,36,D,0,8469665,210,8,0.038,32,0.1523,40,0.1904,9,0,0.0,2,176,0.838,171,0.8142,418,1.9904,27.138,0.0454,3256,3242,14,143,-227,127,98,-0.0303,2374,2302,72,99,-121,124,94,-0.0193,0.5011,0.4848,0.9903,0.0685
0,Rick,Nash,,33,L,1,8470041,206,80,0.3883,63,0.3058,143,0.6941,46,27,0.1311,7,682,3.3106,177,0.8592,92,0.4466,25.165,0.1173,2404,2576,-172,99,-173,-102,-98,0.0004,1828,1902,-74,43,-75,-28,-42,0.0049,0.4827,0.5559,1.0291,0.1006
1,Valtteri,Filppula,,33,C,1,8470047,237,32,0.135,89,0.3755,121,0.5105,-21,32,0.135,1,289,1.2194,81,0.3417,93,0.3924,22.4767,0.1107,2801,2790,11,16,-39,85,34,-0.0265,2109,2097,12,-56,21,73,47,-0.0225,0.501,0.5047,0.9845,0.0694
0,Scottie,Upshall,,34,R,1,8470105,206,24,0.1165,23,0.1116,47,0.2281,-4,1,0.0049,5,291,1.4126,319,1.5485,64,0.3106,18.0291,0.0824,1647,1701,-54,-11,-73,10,30,-0.0213,1260,1266,-6,-12,-30,18,36,-0.0143,0.4919,0.3814,0.9844,0.0611
1,Trevor,Daley,,34,D,0,8470110,206,27,0.131,58,0.2815,85,0.4126,3,25,0.1214,3,327,1.5873,100,0.4854,285,1.3834,27.364,0.0825,3077,3190,-113,137,-169,-57,-81,-0.0453,2309,2344,-35,39,-41,6,-33,-0.044,0.491,0.5364,1.008,0.0853
1,Frans,Nielsen,,33,C,1,8470144,238,51,0.2142,85,0.3571,136,0.5714,-10,53,0.2227,7,500,2.1008,147,0.6176,226,0.9495,24.0168,0.102,2695,2584,111,67,-100,40,144,0.0084,1980,1840,140,14,-11,55,137,0.0115,0.5105,0.5048,0.9931,0.0745
1,Jay,Bouwmeester,,34,D,0,8470151,225,6,0.0266,41,0.1822,47,0.2088,9,7,0.0311,0,303,1.3466,180,0.8,320,1.4222,29.8222,0.0198,3558,3646,-88,69,-96,-59,-61,-0.0333,2699,2725,-26,33,0,-65,-59,-0.0361,0.4939,0.4605,1.009,0.0808
0,Matt,Stajan,,34,C,1,8470162,220,19,0.0863,38,0.1727,57,0.259,6,0,0.0,6,163,0.7409,209,0.95,105,0.4772,18.909,0.1165,1871,2216,-345,-4,-229,-220,-112,-0.029,1374,1565,-191,2,-127,-117,-66,-0.0204,0.4578,0.3482,1.0089,0.0775
1,Johnny,Boychuk,,33,D,0,8470187,208,24,0.1153,59,0.2836,83,0.399,43,24,0.1154,3,512,2.4615,480,2.3076,422,2.0288,24.6682,0.0468,3413,3271,142,134,-43,-6,51,0.0174,2518,2314,204,100,43,42,61,0.0215,0.5106,0.5151,1.0131,0.0794
1,Alexander,Steen,,33,L,1,8470257,217,57,0.2626,110,0.5069,167,0.7695,9,61,0.2811,1,512,2.3594,115,0.5299,141,0.6497,27.9907,0.1113,2731,2707,24,119,-117,-10,22,-0.0119,2067,1962,105,67,-16,53,54,-0.0048,0.5022,0.5007,1.0105,0.0866
1,Duncan,Keith,,34,D,0,8470281,227,25,0.1101,116,0.511,141,0.6211,47,49,0.2159,2,484,2.1321,56,0.2466,336,1.4801,30.1057,0.0516,4150,3703,447,317,-41,211,171,0.0193,2998,2760,238,144,34,95,60,0.0173,0.5285,0.5089,1.0067,0.0738
1,Jonathan,Ericsson,,33,D,0,8470318,204,7,0.0343,32,0.1568,39,0.1911,-5,0,0.0,1,193,0.946,321,1.5735,139,0.6813,27.897,0.0362,2670,2787,-117,57,-146,-96,-28,-0.0332,2009,2236,-227,-34,-145,-160,-48,-0.0411,0.4893,0.4766,1.0045,0.0813
0,Josh,Gorges,,33,D,0,8470324,189,3,0.0158,21,0.1111,24,0.1269,-38,0,0.0,1,125,0.6613,361,1.91,423,2.238,28.074,0.024,2382,3202,-820,-275,-296,-484,-249,-0.0339,1805,2366,-561,-224,-170,-326,-167,-0.0277,0.4266,0.4074,0.99,0.0602
0,Alexandre,Burrows,,36,R,1,8470358,224,42,0.1875,44,0.1964,86,0.3839,-10,15,0.067,2,423,1.8883,222,0.991,100,0.4464,21.5357,0.0992,2326,2368,-42,85,-143,48,16,0.0124,1740,1760,-20,7,-65,64,38,0.0179,0.4955,0.5122,0.9902,0.0677
1,Chris,Kunitz,,38,L,1,8470543,225,43,0.1911,66,0.2933,109,0.4844,31,27,0.12,1,454,2.0177,691,3.0711,90,0.4,22.7244,0.0947,3176,2661,515,194,86,378,235,0.0333,2345,1963,382,100,102,266,180,0.0265,0.5441,0.5805,1.0098,0.0788
1,Eric,Staal,,33,C,1,8470595,242,64,0.2644,94,0.3884,158,0.6528,2,40,0.1653,2,654,2.7024,181,0.7479,99,0.409,24.0123,0.0978,3643,3021,622,349,29,344,244,0.0538,2671,2292,379,217,32,180,130,0.0429,0.5467,0.5364,0.99,0.0698
1,Thomas,Vanek,,33,L,1,8470598,222,56,0.2522,85,0.3828,141,0.6351,-21,44,0.1982,0,450,2.027,79,0.3558,35,0.1576,19.3648,0.1244,2282,2575,-293,-15,-123,-191,-155,-0.0319,1713,1947,-234,-57,-68,-120,-109,-0.0435,0.4698,0.6301,1.0093,0.0884
1,Ryan,Suter,,32,D,0,8470600,241,19,0.0788,110,0.4564,129,0.5352,51,44,0.1826,5,502,2.0829,210,0.8713,374,1.5518,30.2904,0.0378,4715,4596,119,378,-207,39,-52,0.0226,3581,3398,183,241,-36,105,-22,0.0211,0.5064,0.532,1.0088,0.0813
1,Braydon,Coburn,,32,D,0,8470601,203,7,0.0344,26,0.128,33,0.1625,13,0,0.0,2,240,1.1822,282,1.3891,230,1.133,22.9901,0.0291,2617,2536,81,97,-89,138,73,-0.0135,1950,1939,11,29,-50,78,32,-0.0137,0.5079,0.4512,1.0007,0.0763
1,Dion,Phaneuf,,32,D,0,8470602,222,16,0.072,75,0.3378,91,0.4099,-24,40,0.1802,4,438,1.9729,466,2.099,371,1.6711,29.7342,0.0365,3412,3767,-355,112,-239,-290,-228,-0.0096,2561,2839,-278,42,-150,-224,-170,-0.0055,0.4753,0.483,0.9941,0.0738
1,Jeff,Carter,,32,C,1,8470604,241,84,0.3485,106,0.4398,190,0.7883,27,49,0.2033,5,710,2.946,251,1.0414,109,0.4522,22.8879,0.1183,3383,2672,711,346,158,365,207,0.0032,2548,2039,509,230,129,295,150,0.0029,0.5587,0.5718,1.0012,0.0769
1,Dustin,Brown,,33,R,1,8470606,244,36,0.1475,55,0.2254,91,0.3729,-26,15,0.0615,2,582,2.3852,666,2.7295,75,0.3073,21.4098,0.0618,3198,2548,650,301,117,358,232,0.001,2395,1894,501,191,139,275,171,0.0077,0.5566,0.545,0.9788,0.0598
1,Brent,Seabrook,,32,D,0,8470607,242,25,0.1033,94,0.3884,119,0.4917,8,54,0.2231,1,479,1.9793,367,1.5165,438,1.8099,29.4752,0.0521,3949,3960,-11,153,-238,96,74,-0.0251,2871,2939,-68,34,-96,25,-6,-0.0228,0.4993,0.5399,1.0006,0.0669
1,Zach,Parise,,33,L,1,8470610,213,77,0.3615,80,0.3755,157,0.737,15,46,0.216,0,687,3.2253,203,0.953,167,0.784,22.7089,0.112,2964,2880,84,139,-112,86,57,0.0195,2236,2114,122,77,7,79,38,0.0154,0.5072,0.5875,1.0041,0.0766
1,Ryan,Getzlaf,,32,C,1,8470612,228,53,0.2324,153,0.671,206,0.9035,36,55,0.2412,6,507,2.2236,307,1.3464,244,1.0701,24.8684,0.1045,3157,2890,267,213,-67,176,121,0.0126,2369,2066,303,147,41,174,115,0.021,0.5221,0.5079,1.0083,0.09
1,Brent,Burns,,32,D,0,8470613,246,73,0.2967,138,0.5609,211,0.8577,5,79,0.3211,3,918,3.7317,318,1.2926,411,1.6707,28.0406,0.0795,4831,4216,615,398,-36,429,253,0.0343,3503,3014,489,221,78,316,190,0.03,0.534,0.5317,1.0019,0.0814
1,Ryan,Kesler,,33,C,1,8470616,242,63,0.2603,95,0.3925,158,0.6528,8,46,0.1901,4,555,2.2933,483,1.9958,236,0.9752,26.2355,0.1135,3255,3053,202,189,-79,178,92,0.0076,2448,2244,204,102,15,140,87,0.0084,0.516,0.3941,0.9921,0.0694
1,Brian,Boyle,,33,C,1,8470619,233,41,0.1759,28,0.1201,69,0.2961,-1,9,0.0386,5,388,1.6652,366,1.5708,157,0.6738,17.9785,0.1056,2057,1952,105,155,-53,61,3,-0.0113,1563,1446,117,110,12,61,-5,0.0013,0.5131,0.4227,0.9922,0.0735
1,Corey,Perry,,32,R,1,8470621,231,86,0.3722,84,0.3636,170,0.7359,17,51,0.2208,0,623,2.6969,249,1.0779,98,0.4242,21.8051,0.138,3019,2902,117,127,-79,108,69,-0.0006,2265,2135,130,63,-4,90,71,-0.001,0.5099,0.5347,1.0124,0.0891
1,Loui,Eriksson,,32,L,1,8470626,228,63,0.2763,71,0.3114,134,0.5877,5,35,0.1535,5,485,2.1271,62,0.2719,83,0.364,23.6228,0.1298,2962,2758,204,268,-86,150,22,0.0267,2170,2086,84,120,-12,45,-24,0.0241,0.5178,0.4985,1.0058,0.0764
1,Patrice,Bergeron,,32,C,1,8470638,240,76,0.3166,100,0.4166,176,0.7333,26,56,0.2333,8,818,3.4083,188,0.7833,163,0.6791,25.425,0.0929,3491,2496,995,342,229,641,424,0.087,2638,1866,772,246,236,482,290,0.0933,0.5831,0.4733,0.9801,0.0679
1,Shea,Weber,,32,D,0,8470642,234,52,0.2222,86,0.3675,138,0.5897,28,63,0.2692,4,609,2.6025,475,2.0299,464,1.9829,29.6282,0.0853,4198,4013,185,279,-60,68,-34,-0.0278,3106,2848,258,200,29,144,29,-0.0168,0.5113,0.4768,1.008,0.07
1,David,Backes,,33,R,1,8470655,233,64,0.2746,77,0.3304,141,0.6051,13,36,0.1545,0,526,2.2575,692,2.9699,197,0.8454,25.5493,0.1216,3084,2818,266,184,15,135,67,-0.0067,2384,2007,377,121,116,237,140,0.0108,0.5225,0.4314,0.9988,0.0789
0,Lee,Stempniak,,34,R,1,8470740,235,50,0.2127,69,0.2936,119,0.5063,14,19,0.0809,1,392,1.668,304,1.2936,73,0.3106,21.0425,0.1275,2624,2668,-44,78,10,-74,-132,-0.0077,1886,2032,-146,7,-26,-139,-127,-0.0234,0.4958,0.5354,1.018,0.0943
1,Marc,Methot,,32,D,0,8470760,182,6,0.0329,29,0.1593,35,0.1923,47,0,0.0,0,192,1.0549,382,2.0989,237,1.3021,26.5,0.0312,2921,3031,-110,46,-122,-105,-34,0.0051,2136,2254,-118,-22,-48,-96,-48,0.0073,0.4908,0.5191,1.0191,0.0878
1,Nate,Thompson,,33,C,1,8470775,159,9,0.0566,17,0.1069,26,0.1635,3,0,0.0,2,148,0.9308,376,2.3647,101,0.6352,18.5094,0.0608,1279,1445,-166,7,-146,-68,-27,-0.0557,944,1060,-116,-20,-87,-33,-9,-0.0622,0.4695,0.4524,1.0042,0.0627
1,Joe,Pavelski,,33,C,1,8470794,245,104,0.4244,112,0.4571,216,0.8816,48,81,0.3306,1,718,2.9306,374,1.5265,226,0.9224,25.4612,0.1448,3686,3069,617,276,102,424,239,0.046,2694,2156,538,189,151,348,198,0.0515,0.5457,0.535,1.0179,0.0881
1,Kyle,Brodziak,,33,C,1,8470803,218,24,0.11,22,0.1009,46,0.211,-5,0,0.0,4,190,0.8715,162,0.7431,139,0.6376,17.7064,0.1263,1557,1809,-252,5,-109,-190,-148,-0.0636,1143,1296,-153,-22,-38,-118,-93,-0.0621,0.4626,0.3138,0.9935,0.078
0,Toby,Enstrom,,33,D,0,8470828,192,7,0.0364,46,0.2395,53,0.276,14,14,0.0729,1,154,0.802,76,0.3958,283,1.4739,27.4687,0.0454,2803,2701,102,161,-70,-4,11,-0.0075,2089,2062,27,33,-18,-15,12,-0.0101,0.5093,0.5196,1.0047,0.0888
1,Dustin,Byfuglien,,32,D,0,8470834,230,50,0.2173,100,0.4347,150,0.6521,19,48,0.2087,5,697,3.0304,608,2.6434,288,1.2521,27.2695,0.0717,3986,3630,356,195,87,168,74,0.02,3015,2751,264,89,120,110,55,0.0232,0.5234,0.5045,0.9995,0.0853
1,Mark,Giordano,,34,D,0,8470966,224,44,0.1964,99,0.4419,143,0.6383,30,47,0.2098,7,520,2.3214,202,0.9017,505,2.2544,30.2232,0.0846,3678,3530,148,250,-111,36,9,0.048,2653,2519,134,119,-2,33,17,0.0467,0.5103,0.4637,1.0023,0.0854
1,Alex,Ovechkin,,32,L,1,8471214,242,136,0.5619,85,0.3512,221,0.9132,37,84,0.3471,0,1106,4.5702,700,2.8925,95,0.3925,21.7644,0.1229,3651,3314,337,183,-22,215,176,0.0157,2696,2416,280,68,83,148,129,0.0191,0.5242,0.5583,1.0159,0.0917
1,Evgeni,Malkin,,31,C,1,8471215,188,88,0.468,112,0.5957,200,1.0638,17,76,0.4043,0,565,3.0053,91,0.484,62,0.3297,23.117,0.1557,2724,2330,394,227,22,317,145,0.029,2035,1777,258,135,27,230,96,0.014,0.539,0.6375,1.0154,0.0881
1,Andrew,Ladd,,32,L,1,8471217,237,72,0.3037,67,0.2827,139,0.5864,-18,38,0.1603,4,547,2.308,479,2.021,134,0.5654,24.308,0.1316,2994,2933,61,99,-120,26,82,0.0005,2145,2151,-6,-10,-50,7,54,-0.0051,0.5051,0.5261,1.0005,0.0747
1,Blake,Wheeler,,31,R,1,8471218,243,78,0.3209,135,0.5555,213,0.8765,40,50,0.2058,12,759,3.1234,320,1.3168,161,0.6625,25.9341,0.1027,3500,2883,617,337,82,368,198,0.0545,2629,2158,471,199,100,295,172,0.0591,0.5483,0.5246,1.0092,0.0868
1,Drew,Stafford,,32,R,1,8471226,212,47,0.2216,55,0.2594,102,0.4811,-29,22,0.1038,4,443,2.0896,202,0.9528,33,0.1556,21.0377,0.106,2276,2568,-292,-81,-70,-137,-141,-0.0144,1704,1903,-199,-115,1,-63,-85,-0.0114,0.4699,0.4973,0.9937,0.0788
1,Travis,Zajac,,32,C,1,8471233,228,39,0.171,73,0.3201,112,0.4912,-8,36,0.1579,7,349,1.5307,216,0.9473,102,0.4473,25.0087,0.1117,2464,2675,-211,-30,-126,-70,-55,0.0141,1884,2016,-132,-34,-92,-22,-6,0.0164,0.4795,0.4379,1.0095,0.0752
1,Mike,Green,,32,D,0,8471242,218,31,0.1422,85,0.3899,116,0.5321,-11,47,0.2156,0,408,1.8715,255,1.1697,256,1.1743,25.1651,0.0759,3180,3001,179,142,16,34,21,0.0158,2413,2284,129,31,82,1,16,0.0217,0.5145,0.5893,0.998,0.0751
1,Blake,Comeau,,31,L,1,8471260,219,36,0.1643,51,0.2328,87,0.3972,-22,11,0.0502,3,392,1.7899,490,2.2374,68,0.3105,21.6392,0.0918,2538,2540,-2,149,-102,-64,-49,0.0319,1842,1895,-53,28,-27,-83,-54,0.0199,0.4998,0.4533,0.9891,0.0694
1,Carl,Soderberg,,32,C,1,8471262,244,31,0.127,78,0.3196,109,0.4467,-23,24,0.0984,2,454,1.8606,137,0.5614,149,0.6106,20.6639,0.0682,2652,2895,-243,91,-218,-204,-116,-0.0043,1961,2125,-164,4,-96,-140,-72,0.0022,0.4781,0.4548,0.9944,0.0733
1,Brandon,Dubinsky,,31,C,1,8471273,202,42,0.2079,83,0.4108,125,0.6188,11,21,0.104,2,373,1.8465,635,3.1435,111,0.5495,24.6237,0.1126,2631,2602,29,115,-107,31,21,0.014,1918,1907,11,39,-51,34,23,0.0103,0.5028,0.4411,1.0028,0.0829
1,Alex,Goligoski,,32,D,0,8471274,245,15,0.0612,94,0.3836,109,0.4448,12,21,0.0857,5,361,1.4734,337,1.3755,459,1.8734,29.6285,0.0415,4447,4269,178,243,-122,108,57,0.0176,3287,3193,94,81,-20,44,33,0.0166,0.5102,0.4787,1.0032,0.0875
1,David,Krejci,,31,C,1,8471276,201,47,0.2338,101,0.5024,148,0.7363,-1,40,0.199,4,371,1.8457,118,0.587,137,0.6815,22.7711,0.1266,2791,2606,185,207,-85,103,63,-0.0072,2063,1964,99,101,-24,28,22,-0.0149,0.5171,0.5128,1.004,0.082
