Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
24.05,Jacob,de la Rose,23,Detroit Red Wings,L,7,10,1,0,78,159
23.86,Jamie,McGinn,30,Florida Panthers,L,12,12,4,-4,116,117
23.82,Brendan,Perlini,22,Arizona Coyotes,L,17,15,8,-9,152,81
23.71,Adam,Erne,23,Tampa Bay Lightning,L,10,7,0,-1,111,138
23.56,Justin,Abdelkader,31,Detroit Red Wings,L,10,19,7,-11,119,167
23.53,Thomas,Vanek,34,Detroit Red Wings,L,18,25,13,-12,151,42
23.33,Blake,Comeau,32,Dallas Stars,L,10,18,2,-7,118,149
22.81,Michael,Raffl,30,Philadelphia Flyers,L,10,12,0,0,100,107
22.54,Matt,Calvert,29,Colorado Avalanche,L,10,11,1,0,122,83
22.1,Magnus,Paajarvi,27,Ottawa Senators,L,10,8,0,0,120,98
21.75,Daniel,Carr,27,Vegas Golden Knights,L,10,13,4,0,108,62
21.46,Jujhar,Khaira,24,Edmonton Oilers,L,9,13,1,-4,97,143
21.44,Max,McCormick,26,Ottawa Senators,L,7,6,0,0,95,140
21.24,Brendan,Leipsic,24,Vancouver Canucks,L,10,20,4,-3,127,51
20.75,Remi,Elie,23,Buffalo Sabres,L,8,13,1,0,80,107
20.74,Chris,Kunitz,39,Chicago Blackhawks,L,7,12,0,-2,87,142
18.72,Ross,Johnston,24,New York Islanders,L,6,5,0,0,75,141
17.81,Gabriel,Bourque,28,Colorado Avalanche,L,4,7,0,-2,67,169
17.06,Marcus,Sorensen,26,San Jose Sharks,L,7,9,0,1,95,73
16.44,Pontus,Aberg,25,Anaheim Ducks,L,8,12,2,0,98,47
14.59,Tomas,Nosek,26,Vegas Golden Knights,L,10,9,0,-4,115,75
14.03,Markus,Hannikainen,25,Columbus Blue Jackets,L,7,7,0,0,75,81
13.79,Pierre-Edouard,Bellemare,33,Vegas Golden Knights,L,8,7,0,0,88,61
13.73,Jimmy,Vesey,25,New York Rangers,L,17,12,4,-14,151,81
13.21,Matt,Nieto,26,Colorado Avalanche,L,10,14,0,-4,113,44
13.08,Tom,Pyatt,31,Ottawa Senators,L,7,10,0,-1,86,63
12.88,Cody,McLeod,34,New York Rangers,L,3,0,0,-4,43,200
12.43,Kevin,Roy,25,Anaheim Ducks,L,11,2,0,0,96,41
11.3,Taylor,Leier,24,Philadelphia Flyers,L,8,9,0,0,81,35
