Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
107,Austin,Czarnik,CGY,C/RW,-63,71,13,25,0,88,10,28
108,Evan,Rodrigues,BUF,C/LW,-64,73,11,22,-10,137,8,31
109,Brandon,Sutter,VAN,C,-65,66,17,18,10,127,9,59
110,Jan,Kovar,NYI,C,-65,76,11,30,0,92,12.3,46
111,Pavel,Zacha,NJD,C,-67,71,11,25,0,100,9,80
112,Mattias,Janmark,DAL,C/LW,-67,78,17,18,-10,124,9,15
113,Nick,Cousins,ARI,C/RW,-69,73,11,13,0,113,0,120
114,Henrik,Borgstrom,FLA,C,-70,77,19,23,0,77,11,46
115,Zachary,Aston-Reese,PIT,C,-72,66,11,15,0,87,0,183
116,Alexander,Kerfoot,COL,C,-73,78,17,26,-10,76,11,41
117,Zack,Smith,OTT,C/LW,-73,74,11,15,-10,122,0,98
118,Filip,Chytil,NYR,C,-74,69,8,18,-10,161,7,69
119,Derek,Ryan,CGY,C,-75,78,16,19,0,109,9,44
120,Adrian,Kempe,LAK,C,-75,79,14,26,0,113,0,85
121,Travis,Zajac,NJD,C,-76,72,12,21,-10,109,8,69
122,Brandon,Dubinsky,CBJ,C,-76,68,9,14,0,114,0,157
123,Jason,Spezza,DAL,C/RW,-76,65,9,16,0,144,6,11
124,Artem,Anisimov,CHI,C,-77,71,20,18,-10,119,10,18
125,Jack,Roslovic,WPG,C,-77,69,12,22,10,85,9,45
126,Jujhar,Khaira,EDM,C/LW,-78,72,9,11,0,75,0,135
127,Luke,Glendening,DET,C/RW,-78,74,8,11,-10,83,0,147
128,Calle,Jarnkrok,NSH,C,-80,77,17,21,20,122,0,40
129,Anthony,Cirelli,TBL,C,-81,70,12,24,10,103,0,73
130,Sean,Kuraly,BOS,C,-81,74,8,12,0,127,0,135
131,Denis,Malgin,FLA,C/RW,-81,61,14,16,0,91,0,63
132,Frans,Nielsen,DET,C,-82,78,16,18,0,156,0,48
133,Tyler,Bozak,STL,C,-82,74,14,24,0,137,0,46
134,Luke,Kunin,MIN,C/RW,-83,54,12,9,0,91,0,97
135,Carl,Soderberg,COL,C,-84,80,15,19,0,147,0,44
136,Henrik,Zetterberg,DET,C,-84,40,7,20,0,96,9,48
137,Ivan,Barbashev,STL,C/LW,-86,71,7,19,0,55,0,89
138,Scott,Wilson,BUF,C/RW,-86,56,6,10,-10,86,0,123
139,Riley,Nash,CBJ,C,-87,75,12,21,0,107,0,72
140,Jared,McCann,FLA,C,-88,70,11,23,0,124,0,49
141,Adam,Gaudette,VAN,C,-88,65,15,13,0,117,0,81
142,Brian,Boyle,NJD,C,-88,72,12,10,-10,120,0,117
143,Jacob,De La Rose,MTL,C/LW,-88,62,8,9,-10,55,0,136
144,Jason,Dickinson,DAL,C/LW,-88,71,10,13,0,50,0,99
145,Riley,Sheahan,PIT,C,-89,81,12,22,0,116,0,52
146,Cody,Eakin,VGK,C,-89,74,12,18,0,107,0,75
147,Spencer,Foo,CGY,C/RW,-89,30,8,7,0,120,4,38
148,Andrew,Copp,WPG,C,-90,77,9,19,10,79,0,94
149,Casey,Cizikas,NYI,C,-90,67,8,15,-10,79,0,142
150,Tomas,Plekanec,MTL,C,-90,78,9,17,-10,155,0,59
151,Maxim,Mamin,FLA,C/RW,-90,58,8,11,0,58,0,103
152,David,Kampf,CHI,C/RW,-90,72,11,18,0,72,0,45
153,Martin,Necas,CAR,C,-91,78,18,21,0,0,10,47
154,Ryan,Carpenter,VGK,C,-92,66,10,13,0,109,0,95
155,Scott,Laughton,PHI,C,-92,71,13,16,-10,91,0,98
156,Mark,Jankowski,CGY,C,-92,76,15,17,0,123,0,41
157,Chris,Tierney,SJS,C,-93,80,15,23,0,100,0,33
158,Matthew,Peca,MTL,C,-93,71,7,22,0,92,0,78
159,Frank,Vatrano,FLA,C,-94,54,12,11,0,124,0,72
160,Curtis,Lazar,CGY,C/RW,-94,62,4,9,0,59,0,110
161,Lias,Andersson,NYR,C,-96,63,11,15,-10,45,7,79
162,Lucas,Wallmark,CAR,C,-97,65,8,14,0,92,0,93
163,Laurent,Dauphin,ARI,C/LW,-97,60,5,12,0,73,0,68
164,Markus,Granlund,VAN,C/LW,-97,61,10,8,0,98,0,40
165,Dylan,Strome,ARI,C,-100,51,9,19,0,66,7,20
166,Valtteri,Filppula,NYI,C,-100,79,11,23,0,89,0,27
167,Nick,Bonino,NSH,C,-103,72,13,16,0,109,0,22
168,Jay,Beagle,VAN,C,-103,78,8,15,0,86,0,65
169,Jordan,Nolan,STL,C/LW,-103,56,3,6,0,47,0,100
170,Brad,Richardson,ARI,C,-104,73,4,15,0,104,0,62
171,Colin,White,OTT,C,-104,69,10,20,0,75,0,39
172,Gemel,Smith,DAL,C/LW,-104,65,9,10,0,63,0,40
173,Johan,Larsson,BUF,C,-105,67,6,13,-10,81,0,93
174,Eric,Fehr,MIN,C/RW,-105,51,6,5,0,65,0,67
175,Noel,Acciari,BOS,C,-106,52,6,5,0,52,0,136
176,Matt,Hendricks,MIN,C,-107,63,4,7,0,60,0,126
177,Kyle,Brodziak,EDM,C,-107,74,9,14,0,71,0,62
178,Cedric,Paquette,TBL,C,-108,57,4,8,0,61,0,114
179,Nate,Thompson,LAK,C/LW,-108,53,2,7,0,40,0,84
180,Nic,Petan,WPG,C/RW,-109,63,9,10,0,65,0,16
181,Michael,McCarron,MTL,C/RW,-109,34,1,5,0,43,0,91
182,Jori,Lehtera,PHI,C/LW,-111,63,5,8,-10,60,0,49
183,Dominik,Kahun,CHI,C,-112,65,9,17,0,75,0,26
184,Barclay,Goodrow,SJS,C/RW,-113,38,5,8,0,39,0,47
185,Martin,Hanzal,DAL,C,-114,40,6,9,-10,86,0,70
186,Vinni,Lettieri,NYR,C,-114,50,12,5,0,74,0,58
187,Matt,Cullen,PIT,C,-116,75,11,8,0,102,0,14
188,Pierre-edouard,Bellemare,VGK,C,-117,77,6,7,0,96,0,44
189,Vladislav,Kamenev,COL,C,-118,61,11,14,0,24,0,49
190,Par,Lindholm,TOR,C,-118,55,8,10,0,67,0,41
191,Michael,Amadio,LAK,C,-119,68,8,14,0,49,0,37
192,Lukas,Sedlak,CBJ,C,-119,57,6,7,0,53,0,71
193,Derek,MacKenzie,FLA,C,-120,55,3,5,0,64,0,82
194,Derek,Grant,PIT,C,-121,56,8,8,0,56,0,50
195,Hunter,Shinkaruk,MTL,C/LW,-121,35,5,4,0,42,0,28
196,Carter,Rowney,ANA,C,-123,47,4,6,0,30,0,91
197,Brendan,Gaunce,VAN,C/LW,-124,26,3,2,0,32,0,40
198,Marcus,Kruger,CHI,C,-125,60,3,9,0,62,0,43
199,Josh,Jooris,TOR,C/RW,-125,28,3,3,0,38,0,30
200,Kalle,Kossila,ANA,C/LW,-130,24,2,5,0,22,0,18
201,Shane,Gersich,WSH,C/LW,-131,20,2,4,0,27,0,14
202,Victor,Ejdsell,CHI,C/LW,-131,18,2,2,0,21,1,18
203,Jordan,Schroeder,CHI,C/RW,-132,24,3,2,0,25,0,17
204,John,Quenneville,NJD,C/LW,-133,13,0,3,0,24,0,18
205,Alan,Quine,CGY,C,-136,30,2,5,0,36,0,40
206,Frederik,Gauthier,TOR,C,-139,35,2,5,0,28,0,37
207,Brandon,Pirri,VGK,C,-140,20,4,5,0,38,0,16
208,Dylan,Gambrell,SJS,C,-142,35,3,7,0,12,0,24
209,David,Ullstrom,ARI,C,-143,30,2,4,0,17,0,34
210,Joseph,Blandisi,ANA,C/LW,-143,4,0,1,0,4,0,4
211,Reid,Boucher,VAN,C/LW,-143,2,0,0,0,4,0,7
212,Travis,Boyd,WSH,C,-145,35,3,6,0,10,0,18
213,Oskar,Sundqvist,STL,C,-146,21,1,4,0,19,0,23
214,Jakob,Forsbacka-Karlsson,BOS,C,-146,20,2,5,0,17,0,15
215,Daniel,Winnik,MIN,C/LW,-146,0,0,0,0,0,0,0
216,Tommy,Wingels,BOS,C/RW,-146,0,0,0,0,0,0,0
217,Torrey,Mitchell,LAK,C/RW,-146,0,0,0,0,0,0,0
218,Daniel,O'Regan,BUF,C,-149,18,2,4,0,17,0,7
219,Sam,Steel,ANA,C,-149,12,2,4,0,17,0,6
220,Michael,Rasmussen,DET,C,-153,9,2,2,0,17,0,0
221,Rocco,Grimaldi,NSH,C,-153,8,1,2,0,13,0,6
222,Jesperi,Kotkaniemi,MTL,C,-154,8,1,2,0,8,0,8
223,Cody,Glass,VGK,C,-154,9,1,2,0,8,0,6
224,Maxim,Letunov,SJS,C,-156,10,1,1,0,8,0,3
225,Peter,Holland,NYR,C,-156,5,0,1,0,9,0,5
226,Robert,Thomas,STL,C,-158,9,0,2,0,0,0,3
227,Tyler,Graovac,CGY,C,-158,3,0,1,0,3,0,3
228,Logan,Brown,OTT,C,-158,5,0,1,0,5,0,1
229,Jaret,Anderson-Dolan,LAK,C,-160,2,0,0,0,0,0,3
230,Antoine,Vermette,ANA,C,-161,0,0,0,0,0,0,0
231,Matt,Stajan,CGY,C,-161,0,0,0,0,0,0,0
232,Mark,Letestu,CBJ,C,-161,0,0,0,0,0,0,0
233,Nick,Shore,CGY,C,-161,0,0,0,0,0,0,0
