Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
85,Michael,Ferland,CAR,RW,-44,74,17,15,0,123,0,183
86,Brendan,Perlini,ARI,LW/RW,-45,76,19,17,0,129,9,85
87,Tyler,Bertuzzi,DET,LW/RW,-46,71,11,26,0,110,9,92
88,Ondrej,Kase,ANA,RW,-47,68,18,23,10,126,10,40
89,Bobby,Ryan,OTT,LW/RW,-47,68,13,21,-10,135,9,93
90,Andre,Burakovsky,WSH,LW/RW,-47,67,15,27,0,108,11,53
91,Dylan,Sikura,CHI,RW,-47,75,17,25,0,135,11,30
92,Ryan,Strome,EDM,C/RW,-48,76,14,26,0,134,10,44
93,Devante,Smith-Pelly,WSH,RW,-48,76,11,13,0,108,6,168
94,Joel,Armia,MTL,RW,-49,74,12,24,-10,121,9,89
95,Connor,Brown,TOR,RW,-50,82,19,23,0,129,11,25
96,Trevor,Lewis,LAK,RW,-51,75,13,14,0,149,0,155
97,Andrew,Shaw,MTL,C/RW,-51,66,12,17,-10,125,7,125
98,Jason,Pominville,BUF,RW,-51,77,14,21,-10,173,9,38
99,Ryan,Hartman,NSH,C/RW,-52,76,13,22,0,147,0,116
100,Devin,Shore,DAL,LW/RW,-52,82,13,23,-10,117,9,78
101,Valentin,Zykov,CAR,LW/RW,-52,71,17,22,0,124,10,38
102,John,Hayden,CHI,RW,-54,71,10,15,0,94,0,197
103,Cal,Clutterbuck,NYI,RW,-54,73,8,11,-10,99,0,232
104,Brock,McGinn,CAR,LW/RW,-56,77,15,16,0,126,0,132
105,Brett,Ritchie,DAL,RW,-56,73,10,11,0,139,0,165
106,J.T.,Compher,COL,C/RW,-57,73,17,20,-10,131,9,45
107,Jakub,Vrana,WSH,LW/RW,-57,74,16,21,0,130,9,29
108,Daniel,Sprong,PIT,RW,-58,62,15,20,0,107,9,55
109,Joonas,Donskoi,SJS,LW/RW,-58,69,14,22,10,112,9,30
110,Anthony,Duclair,CBJ,LW/RW,-59,70,14,21,0,100,9,57
111,Paul,Byron,MTL,LW/RW,-59,80,20,19,-10,92,0,130
112,Sven,Andrighetto,COL,RW,-59,67,11,23,-10,121,9,54
113,Tyler,Pitlick,DAL,RW,-59,77,13,15,0,127,0,133
114,Chris,Wagner,BOS,C/RW,-60,76,6,11,0,87,0,212
115,Austin,Watson,NSH,RW,-61,75,12,15,0,86,0,166
116,Ty,Rattie,EDM,RW,-61,65,18,16,0,105,9,49
117,Jesper,Bratt,NJD,LW/RW,-62,75,11,25,-10,102,9,49
118,Darren,Helm,DET,LW/RW,-62,71,12,15,0,141,0,111
119,Austin,Czarnik,CGY,C/RW,-63,71,13,25,0,88,10,28
120,Brandon,Tanev,WPG,LW/RW,-64,66,7,10,0,79,0,203
121,Drake,Caggiula,EDM,LW/RW,-66,69,12,13,0,106,0,133
122,Stefan,Noesen,NJD,RW,-67,69,13,14,10,111,0,108
123,Dmitrij,Jaskin,STL,LW/RW,-68,67,9,10,0,95,0,164
124,Ryan,Reaves,VGK,RW,-68,78,4,8,0,46,0,238
125,Tobias,Rieder,EDM,LW/RW,-68,76,14,17,-10,145,0,76
126,Colton,Sceviour,FLA,RW,-69,76,11,14,0,147,0,88
127,Michael,Frolik,CGY,RW,-69,72,14,16,-10,175,0,53
128,Nick,Cousins,ARI,C/RW,-69,73,11,13,0,113,0,120
129,Jake,Virtanen,VAN,RW,-71,68,10,9,-10,116,0,146
130,Zack,Kassian,EDM,RW,-71,73,7,15,0,92,0,138
131,Patrick,Eaves,ANA,LW/RW,-73,54,18,15,0,119,0,59
132,Jesper,Fast,NYR,RW,-74,73,10,22,-10,71,0,113
133,Jason,Spezza,DAL,C/RW,-76,65,9,16,0,144,6,11
134,Martin,Frk,DET,LW/RW,-77,72,13,17,-10,104,0,79
135,Luke,Glendening,DET,C/RW,-78,74,8,11,-10,83,0,147
136,Troy,Brouwer,FLA,LW/RW,-78,71,8,14,0,94,0,105
137,Matt,Calvert,COL,LW/RW,-78,69,14,14,0,105,0,70
138,Nikolay,Goldobin,VAN,LW/RW,-80,69,12,19,-10,80,8,22
139,Denis,Malgin,FLA,C/RW,-81,61,14,16,0,91,0,63
140,Kasperi,Kapanen,TOR,RW,-81,66,12,11,0,97,0,88
141,Joey,Anderson,NJD,RW,-82,72,10,15,0,83,0,90
142,Loui,Eriksson,VAN,LW/RW,-82,57,10,15,0,121,6,7
143,Brendan,Leipsic,VAN,LW/RW,-82,62,7,23,0,105,0,42
144,Luke,Kunin,MIN,C/RW,-83,54,12,9,0,91,0,97
145,Tage,Thompson,BUF,RW,-84,62,10,11,-10,85,5,71
146,Scott,Wilson,BUF,C/RW,-86,56,6,10,-10,86,0,123
147,Michael,Raffl,PHI,LW/RW,-86,70,11,9,0,97,0,82
148,Colin,Wilson,COL,LW/RW,-86,64,9,17,0,100,0,50
149,Ryan,Callahan,TBL,RW,-87,56,4,9,0,100,0,104
150,Jonny,Brodzinski,LAK,RW,-87,65,9,9,0,111,0,72
151,Spencer,Foo,CGY,C/RW,-89,30,8,7,0,120,4,38
152,Marian,Gaborik,OTT,LW/RW,-89,52,9,12,-10,115,5,19
153,Nikita,Scherbak,MTL,RW,-90,53,9,12,0,80,5,37
154,Maxim,Mamin,FLA,C/RW,-90,58,8,11,0,58,0,103
155,David,Kampf,CHI,C/RW,-90,72,11,18,0,72,0,45
156,Gabriel,Bourque,COL,LW/RW,-92,62,5,8,0,54,0,121
157,Dale,Weise,PHI,LW/RW,-93,55,6,5,0,83,0,103
158,Pontus,Aberg,EDM,RW,-93,70,11,16,0,83,0,34
159,Tyler,Ennis,TOR,LW/RW,-93,62,8,11,0,110,0,43
160,Miikka,Salomaki,NSH,LW/RW,-93,51,5,9,0,47,0,120
161,Tyler,Motte,VAN,LW/RW,-94,58,6,8,0,81,0,88
162,Riley,Barber,WSH,RW,-94,60,9,8,0,75,0,81
163,Tom,Pyatt,OTT,LW/RW,-94,79,8,14,-10,96,0,50
164,Tomas,Nosek,VGK,LW/RW,-94,64,8,12,0,87,0,53
165,Curtis,Lazar,CGY,C/RW,-94,62,4,9,0,59,0,110
166,William,Carrier,VGK,LW/RW,-94,45,2,6,0,59,0,130
167,Oscar,Lindberg,VGK,LW/RW,-96,61,7,8,0,87,0,70
168,JT,Brown,MIN,RW,-97,63,3,7,0,82,0,92
169,Nic,Dowd,WSH,RW,-99,57,4,7,0,56,0,101
170,Marcus,Sorensen,SJS,LW/RW,-99,61,10,11,0,63,0,49
171,Matthew,Highmore,CHI,LW/RW,-99,45,8,10,0,94,0,34
172,Daniel,Carr,VGK,RW,-101,51,8,12,0,73,0,40
173,Eeli,Tolvanen,NSH,RW,-102,55,14,9,0,55,0,37
174,Joshua,Ho-Sang,NYI,RW,-103,38,2,20,0,35,6,6
175,Justin,Bailey,BUF,LW/RW,-104,33,2,8,-10,49,0,100
176,Nikita,Soshnikov,STL,RW,-105,43,1,7,0,63,0,83
177,Eric,Fehr,MIN,C/RW,-105,51,6,5,0,65,0,67
178,Darren,Archibald,VAN,RW,-106,32,4,6,0,35,0,97
179,Dennis,Everberg,WPG,RW,-108,52,6,7,0,50,0,62
180,Nic,Petan,WPG,C/RW,-109,63,9,10,0,65,0,16
181,Andrew,Sturtz,OTT,RW,-109,35,7,5,0,58,0,53
182,Michael,McCarron,MTL,C/RW,-109,34,1,5,0,43,0,91
