Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
92,Chris,Wideman,OTT,D,-28,69,6,23,0,104,9,63
93,Cody,Ceci,OTT,D,-29,79,6,17,-10,135,0,141
94,Mark,Borowiecki,OTT,D,-30,61,3,8,-10,47,0,268
95,Brenden,Dillon,SJS,D,-30,80,4,16,0,89,0,177
96,TJ,Brodie,CGY,D,-31,74,9,26,0,90,11,22
97,Derek,Forbort,LAK,D,-32,80,2,19,10,89,0,152
98,Anton,Stralman,TBL,D,-32,75,4,17,20,129,0,103
99,Johnny,Boychuk,NYI,D,-33,64,6,11,0,152,0,125
100,Luke,Schenn,ANA,D,-33,71,1,9,0,76,0,221
101,Noah,Juulsen,MTL,D,-33,75,4,13,-10,113,0,170
102,Connor,Murphy,CHI,D,-34,77,3,17,0,96,0,155
103,Samuel,Girard,COL,D,-35,76,5,24,0,88,9,48
104,Anthony,DeAngelo,NYR,D,-36,64,2,24,-10,114,8,56
105,Derrick,Pouliot,VAN,D,-36,74,5,23,-10,80,8,78
106,Nick,Holden,VGK,D,-36,75,5,19,0,84,0,140
107,Adam,Pelech,NYI,D,-37,77,4,21,10,91,0,112
108,Robert,Hagg,PHI,D,-38,59,3,8,0,78,0,197
109,Jamie,Oleksiak,PIT,D,-38,69,5,18,0,67,0,150
110,Kevin,Connauton,ARI,D,-39,74,10,12,0,105,0,121
111,Travis,Sanheim,PHI,D,-39,71,6,20,0,105,8,39
112,Jaccob,Slavin,CAR,D,-39,80,7,29,0,119,0,43
113,Jack,Johnson,PIT,D,-39,71,5,16,0,93,6,86
114,Olli,Maatta,PIT,D,-39,68,7,16,0,109,0,109
115,Greg,Pateryn,MIN,D,-40,71,1,15,0,84,0,157
116,Joel,Edmundson,STL,D,-41,70,8,13,0,101,0,118
117,Calvin,DeHaan,CAR,D,-41,64,5,20,0,90,0,107
118,Ian,Cole,COL,D,-42,73,4,20,0,82,0,115
119,Nikita,Zaitsev,TOR,D,-43,71,5,15,0,80,0,133
120,Kevan,Miller,BOS,D,-44,66,1,15,10,59,0,150
121,Mike,Reilly,MTL,D,-44,67,4,24,-10,72,8,48
122,Samuel,Morin,PHI,D,-45,33,0,4,0,33,0,237
123,Brian,Dumoulin,PIT,D,-45,76,4,16,0,94,0,109
124,Michael,Stone,CGY,D,-46,77,3,13,-10,119,0,116
125,Deryk,Engelland,VGK,D,-46,78,4,14,0,98,0,112
126,Steven,Santini,NJD,D,-46,53,3,14,0,73,0,138
127,John,Gilmour,NYR,D,-46,68,3,15,0,149,0,65
128,John,Moore,BOS,D,-46,72,6,11,0,116,0,99
129,Brandon,Manning,CHI,D,-47,65,6,12,0,92,0,114
130,Nick,Jensen,DET,D,-48,80,2,21,0,103,0,77
131,Christian,Djoos,WSH,D,-48,69,6,19,10,66,8,24
132,Fredrik,Claesson,NYR,D,-49,66,2,14,0,58,0,144
133,Troy,Stecher,VAN,D,-49,69,1,14,0,110,0,101
134,Ron,Hainsey,TOR,D,-49,78,4,17,0,93,0,90
135,Jason,Demers,ARI,D,-49,71,7,18,0,97,0,68
136,Haydn,Fleury,CAR,D,-50,75,1,15,0,96,0,105
137,Brooks,Orpik,WSH,D,-50,76,1,7,-10,68,0,179
138,Matt,Grzelcyk,BOS,D,-51,73,4,19,10,101,0,54
139,Marco,Scandella,BUF,D,-51,75,5,17,-10,117,0,68
140,Danny,Dekeyser,DET,D,-51,74,5,10,0,73,5,87
141,Alex,Petrovic,FLA,D,-52,60,2,14,0,54,0,134
142,MacKenzie,Weegar,FLA,D,-52,72,3,11,0,71,0,127
143,Connor,Carrick,TOR,D,-53,67,4,19,0,84,0,74
144,Jan,Rutta,CHI,D,-53,76,8,22,0,96,0,33
145,Thomas,Hickey,NYI,D,-53,67,4,18,10,74,0,74
146,Andrej,Sekera,EDM,D,-53,70,5,17,0,114,0,50
147,Dan,Girardi,TBL,D,-54,71,5,11,0,75,0,110
148,Zach,Bogosian,BUF,D,-54,58,3,16,0,101,0,70
149,Roman,Polak,DAL,D,-55,62,2,10,0,61,0,135
150,Jonas,Brodin,MIN,D,-55,70,4,23,20,74,0,30
151,Brandon,Carlo,BOS,D,-55,79,3,15,0,82,0,88
152,Ben,Chiarot,WPG,D,-55,65,2,15,0,63,0,109
153,Travis,Hamonic,CGY,D,-55,68,3,14,-10,114,0,76
154,Jake,Mccabe,BUF,D,-55,70,4,17,-10,66,0,101
155,Michal,Kempny,WSH,D,-55,67,3,12,0,98,0,86
156,Dylan,DeMelo,SJS,D,-55,66,1,22,0,70,0,74
157,Rasmus,Andersson,CGY,D,-55,66,6,18,0,48,7,36
158,Robert,Bortuzzo,STL,D,-56,67,2,11,0,75,0,113
159,Mark,Pysyk,FLA,D,-56,81,3,12,0,87,0,91
160,Christian,Folin,PHI,D,-57,66,3,11,0,51,0,127
161,Karl,Alzner,MTL,D,-57,82,2,9,-10,79,0,127
162,Jordan,Oesterle,ARI,D,-58,60,6,12,0,101,0,61
163,Andreas,Borgman,TOR,D,-58,53,4,10,0,52,0,120
164,Jake,Dotchin,TBL,D,-58,50,3,12,0,58,0,109
165,Brett,Pesce,CAR,D,-58,72,3,15,0,94,0,63
166,Kris,Russell,EDM,D,-59,70,4,14,0,76,0,78
167,Alex,Biega,VAN,D,-59,47,1,7,0,62,0,134
168,Devon,Toews,NYI,D,-59,50,5,11,0,100,0,63
169,Patrik,Nemeth,COL,D,-60,69,2,12,20,74,0,67
170,Dan,Hamhuis,NSH,D,-60,73,3,15,0,74,0,75
171,Daniel,Brickley,LAK,D,-60,75,6,16,0,0,7,68
172,Jonathan,Ericsson,DET,D,-60,69,2,8,0,67,0,115
173,Ben,Hutton,VAN,D,-61,69,2,14,0,113,0,43
174,Erik,Gudbranson,VAN,D,-61,55,2,7,0,62,0,120
175,Markus,Nutivaara,CBJ,D,-61,64,5,17,10,73,0,39
176,Nathan,Beaulieu,BUF,D,-61,68,5,15,-10,90,0,58
177,Braydon,Coburn,TBL,D,-63,71,2,11,0,82,0,76
178,Scott,Mayfield,NYI,D,-63,49,2,14,0,63,0,79
179,Matt,Irwin,NSH,D,-63,58,2,9,0,75,0,90
180,Niklas,Kronwall,DET,D,-64,67,3,15,-10,68,0,76
181,Adam,McQuaid,BOS,D,-64,59,1,7,0,48,0,125
182,Christian,Wolanin,OTT,D,-65,65,5,16,-10,91,0,39
183,Trevor,Daley,DET,D,-66,72,8,10,0,106,0,22
184,Tim,Heed,SJS,D,-66,51,5,18,0,88,0,14
185,Jordie,Benn,MTL,D,-66,66,4,11,-10,72,0,76
186,Madison,Bowey,WSH,D,-66,60,2,15,0,55,0,68
187,Andrew,MacDonald,PHI,D,-66,70,4,17,0,69,0,38
188,Trevor,Van Riemsdyk,CAR,D,-67,73,3,12,10,90,0,30
189,Chad,Ruhwedel,PIT,D,-67,54,2,9,0,77,0,72
190,Jay,Bouwmeester,STL,D,-67,65,2,11,0,89,0,52
191,Andy,Greene,NJD,D,-67,76,3,11,-10,80,0,68
192,Marc,Methot,DAL,D,-69,60,1,3,0,58,0,114
193,Ryan,Murphy,MIN,D,-69,58,3,15,0,62,5,9
194,Brad,Hunt,VGK,D,-69,37,3,13,0,62,5,16
195,Julius,Honka,DAL,D,-69,65,2,14,0,85,0,33
196,Dmitry,Kulikov,WPG,D,-70,64,2,9,0,66,0,71
197,Paul,LaDue,LAK,D,-70,54,5,12,0,64,0,46
198,Joakim,Ryan,SJS,D,-70,65,3,12,0,86,0,34
199,Marcus,Pettersson,ANA,D,-70,67,1,16,0,51,0,55
200,Marc,Staal,NYR,D,-71,74,2,8,0,68,0,69
201,Niklas,Hjalmarsson,ARI,D,-71,67,2,20,0,56,0,24
202,Gustav,Forsling,CHI,D,-71,50,3,12,0,82,0,32
203,Trevor,Murphy,ARI,D,-72,60,8,11,0,38,0,54
204,Filip,Hronek,DET,D,-72,45,3,15,0,60,0,36
205,Igor,Ozhiganov,TOR,D,-72,65,2,6,0,40,0,98
206,Ryan,Murray,CBJ,D,-73,67,2,14,0,63,0,38
207,Dean,Kukan,CBJ,D,-73,61,1,20,0,44,0,32
208,Mark,Barberio,COL,D,-74,57,3,14,0,69,0,25
209,Ben,Harpur,OTT,D,-74,58,1,8,-10,36,0,100
210,Brendan,Smith,NYR,D,-75,50,1,10,-10,66,0,62
211,Kevin,Gravel,EDM,D,-75,49,2,8,0,52,0,65
212,Nick,Seeler,MIN,D,-76,60,1,10,0,46,0,60
213,Slater,Koekkoek,TBL,D,-77,48,4,9,0,53,0,44
214,Egor,Yakovlev,NJD,D,-78,60,2,10,0,40,0,54
215,Christopher,Tanev,VAN,D,-79,59,2,14,10,40,0,21
216,Joe,Morrow,WPG,D,-80,36,2,7,0,50,0,51
217,Andrej,Sustr,ANA,D,-80,62,2,10,0,63,0,25
218,Ben,Lovejoy,NJD,D,-80,45,1,4,0,55,0,63
219,Yannick,Weber,NSH,D,-80,46,2,8,0,49,0,46
220,Casey,Nelson,BUF,D,-80,46,4,6,0,52,0,43
221,Jordan,Schmaltz,STL,D,-81,58,4,16,0,25,0,21
222,Jon,Merrill,VGK,D,-82,46,1,7,10,38,0,43
223,Oscar,Fantenberg,LAK,D,-82,32,2,8,0,39,0,46
224,Carl,Gunnarsson,STL,D,-82,60,3,6,0,44,0,46
225,Julius,Bergman,OTT,D,-83,43,3,8,0,60,0,22
226,Bogdan,Kiselevich,FLA,D,-83,60,1,12,0,20,0,48
227,Gabriel,Carlsson,CBJ,D,-84,35,1,9,0,46,0,33
228,Ethan,Bear,EDM,D,-84,30,1,8,0,35,3,23
229,Jacob,Larsson,ANA,D,-84,46,1,11,0,20,0,46
230,Gustav,Olofsson,MIN,D,-85,57,2,10,0,30,0,35
231,Ian,McCoshen,FLA,D,-85,40,2,5,-10,26,0,72
232,David,Schlemko,MTL,D,-86,36,1,7,0,56,0,25
233,Brett,Kulak,CGY,D,-86,55,2,4,0,56,0,34
234,Anton,Lindholm,COL,D,-86,35,0,3,0,17,0,80
235,Brendan,Guhle,BUF,D,-86,32,4,7,-10,59,0,20
236,Anthony,Bitetto,NSH,D,-88,34,1,5,0,23,0,55
237,Radim,Simek,SJS,D,-89,32,2,5,0,40,0,32
238,Tucker,Poolman,WPG,D,-90,33,2,5,0,37,0,30
239,Victor,Mete,MTL,D,-91,50,2,8,0,45,0,5
240,Mirco,Mueller,NJD,D,-92,50,0,6,0,35,0,27
241,Matt,Hunwick,BUF,D,-94,20,1,4,0,23,0,31
242,Juuso,Valimaki,CGY,D,-96,20,1,6,0,20,0,18
243,Ilya,Lyubushkin,ARI,D,-96,35,1,4,0,20,0,26
244,Xavier,Ouellet,MTL,D,-99,18,0,4,0,23,0,17
245,Adam,Clendening,CBJ,D,-99,15,0,6,0,20,0,10
246,Eric,Gryba,NJD,D,-100,12,0,2,0,13,0,31
247,Stefan,Elliott,PIT,D,-100,15,1,4,0,20,0,9
248,Lawrence,Pilut,BUF,D,-101,15,1,4,0,20,0,8
249,Eric,Martinsson,MIN,D,-105,15,0,4,0,0,0,12
250,Korbinian,Holzer,ANA,D,-105,10,0,1,0,5,0,19
251,Dalton,Prout,CGY,D,-106,8,0,1,0,7,0,16
252,Chris,Bigras,NYR,D,-106,13,0,2,0,8,0,8
253,Jake,Walman,STL,D,-107,11,0,3,0,0,0,8
254,Olli,Juolevi,VAN,D,-107,15,0,3,0,0,0,6
255,Filip,Pyrochta,NSH,D,-107,12,0,2,0,0,0,10
256,Conor,Timmins,COL,D,-109,5,0,2,0,0,0,5
257,Erik,Brannstrom,VGK,D,-110,6,0,1,0,0,0,4
258,Henri,Jokiharju,CHI,D,-110,4,0,1,0,0,0,3
259,Tobias,Enstrom,WPG,D,-112,0,0,0,0,0,0,0
260,Luca,Sbisa,VGK,D,-112,0,0,0,0,0,0,0
261,Josh,Gorges,BUF,D,-112,0,0,0,0,0,0,0
262,Kevin,Bieksa,ANA,D,-112,0,0,0,0,0,0,0
263,Cody,Franson,CHI,D,-112,0,0,0,0,0,0,0
264,Alexei,Emelin,NSH,D,-112,0,0,0,0,0,0,0
265,Brandon,Davidson,NYI,D,-112,0,0,0,0,0,0,0
